"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1999,NA,58.9,14.6176289274,104
"2","Albania","ALB",1999,1117.7057671645,61.5,65.0847090432,26.3
"3","Algeria","DZA",1999,1616.0203779151,54.7,62.5785626521,42.6
"4","American Samoa","ASM",1999,NA,NA,NA,NA
"5","Andorra","AND",1999,19377.0456455958,NA,1390.0296469422,4.1
"6","Angola","AGO",1999,455.4968822464,82.5,8.5810166557,120.9
"7","Antigua and Barbuda","ATG",1999,8578.6910619166,NA,406.4197530864,13.5
"8","Argentina","ARG",1999,7759.0322606405,60.3,706.9550289614,17.9
"9","Armenia","ARM",1999,597.122840399,64,37.8345463089,30.9
"10","Aruba","ABW",1999,19480.6207978658,NA,NA,NA
"11","Australia","AUS",1999,20617.5986878374,62.9,1754.9846089865,5.2
"12","Austria","AUT",1999,26359.0009241993,58.5,2663.2350369836,4.7
"13","Azerbaijan","AZE",1999,573.8722839105,63.7,30.6722358136,57.9
"14","Bahamas, The","BHS",1999,17518.0212804353,72.5,1039.4401273164,13.8
"15","Bahrain","BHR",1999,10564.0653505159,65.2,489.1125554083,10.8
"16","Bangladesh","BGD",1999,359.1882206524,71.1,8.9341025828,66.4
"17","Barbados","BRB",1999,9253.3438281895,70.5,601.9825821092,15.1
"18","Belarus","BLR",1999,1209.61488078,58.8,76.7579984171,11.3
"19","Belgium","BEL",1999,24855.7957724153,51.8,2207.5401746701,4.9
"20","Belize","BLZ",1999,3013.6075432702,60.6,107.6259508997,23.8
"21","Benin","BEN",1999,377.1819221775,72.7,17.684411856,90.4
"22","Bermuda","BMU",1999,53581.3778033061,NA,NA,NA
"23","Bhutan","BTN",1999,714.2801027916,53.9,50.5662999218,67.7
"24","Bolivia","BOL",1999,1017.9706534936,70.8,63.0060620046,62.2
"25","Bosnia and Herzegovina","BIH",1999,1301.0718893174,62.7,113.598904584,8.5
"26","Botswana","BWA",1999,3394.8824115419,74.7,133.3970729805,64
"27","Brazil","BRA",1999,3413.2599714501,68.3,242.3686519535,32.9
"28","Brunei Darussalam","BRN",1999,14390.5597927759,67.3,577.8760527916,7.4
"29","Bulgaria","BGR",1999,1611.6440868436,53,94.586382306,17.5
"30","Burkina Faso","BFA",1999,252.2370047831,83.8,14.0058428015,98.6
"31","Burundi","BDI",1999,128.5997278921,90.4,7.707918792,100.7
"32","Cambodia","KHM",1999,287.7227879581,79.6,15.9166386427,80.6
"33","Cameroon","CMR",1999,684.3135811976,66.1,27.8941592347,91.2
"34","Canada","CAN",1999,21681.3793050069,65.1,1930.4683505968,5.3
"35","Cape Verde","CPV",1999,1359.1258625473,62.4,61.9769230469,37.5
"36","Cayman Islands","CYM",1999,NA,NA,NA,NA
"37","Central African Republic","CAF",1999,289.4384988316,78.4,10.0521155289,115.2
"38","Chad","TCD",1999,193.396431693,72.1,11.0933841745,106.1
"39","Channel Islands","CHI",1999,43308.6963760512,NA,NA,NA
"40","Chile","CHL",1999,4792.37196594,55.9,316.1231312947,9.4
"41","China","CHN",1999,864.7303143601,77.8,38.8969485545,28.6
"42","Colombia","COL",1999,2204.0999771648,56.3,205.9921932658,23.4
"43","Comoros","COM",1999,406.2700651272,76.8,13.3611527179,76.1
"44","Congo, Dem. Rep.","COD",1999,97.2802926326,70.2,9.5465756739,117.3
"45","Congo, Rep.","COG",1999,770.3991681425,72,24.1105837815,67.4
"46","Costa Rica","CRI",1999,4122.8110783798,61,254.4592589308,11.5
"47","Cote d'Ivoire","CIV",1999,773.042272504,66.3,41.3778031653,101.5
"48","Croatia","HRV",1999,5060.210471584,53.9,376.4169538975,7.5
"49","Cuba","CUB",1999,2562.6961555899,54.3,169.4299932459,6.9
"50","Curacao","CUW",1999,NA,NA,NA,NA
"51","Cyprus","CYP",1999,14243.0874193636,59.5,776.803648476,5.9
"52","Czech Republic","CZE",1999,5853.557918379,60.5,383.9985433209,5.7
"53","Denmark","DNK",1999,32701.836394544,66.2,2763.043546534,4.7
"54","Djibouti","DJI",1999,753.3733982115,68.6,47.0537371848,84.1
"55","Dominica","DMA",1999,3824.7037414435,NA,232.9441699613,13
"56","Dominican Republic","DOM",1999,2566.6375337868,64.7,146.2600901142,34.1
"57","Ecuador","ECU",1999,1373.2086261645,58.9,64.9232471653,27.9
"58","Egypt, Arab Rep.","EGY",1999,1364.9505440539,49.1,70.2252073743,39.6
"59","El Salvador","SLV",1999,2108.688358534,61.5,167.9697823478,29.9
"60","Equatorial Guinea","GNQ",1999,1730.1862337755,62.6,39.1567372347,99.8
"61","Eritrea","ERI",1999,194.6168662858,67.4,9.1086994124,62.7
"62","Estonia","EST",1999,4147.4760094603,59,243.7692108135,10.9
"63","Ethiopia","ETH",1999,122.5491540373,81,5.1661899418,89.2
"64","Faeroe Islands","FRO",1999,24976.358332712,NA,NA,NA
"65","Fiji","FJI",1999,2406.8732353579,58.9,77.9737888404,19.7
"66","Finland","FIN",1999,25209.3096421713,62.9,1864.0506417755,3.6
"67","France","FRA",1999,24132.3479926721,55.2,2438.8392239429,4.5
"68","French Polynesia","PYF",1999,16259.0825612631,59.5,NA,NA
"69","Gabon","GAB",1999,3863.7269381874,73.4,115.7453500194,63.8
"70","Gambia, The","GMB",1999,342.7286130916,78.3,19.7572300941,67.2
"71","Georgia","GEO",1999,628.8656579753,65.9,36.0578824034,30.4
"72","Germany","DEU",1999,26113.9785191137,58.5,2684.1273941073,4.5
"73","Ghana","GHA",1999,411.9440602137,74.2,28.931561906,65.5
"74","Gibraltar","GIB",1999,NA,NA,NA,NA
"75","Greece","GRC",1999,12350.2701447289,53,1107.7731179161,7.1
"76","Greenland","GRL",1999,20170.322763798,NA,NA,NA
"77","Grenada","GRD",1999,3745.5788399071,NA,215.4402510538,13.1
"78","Guam","GUM",1999,NA,66,NA,NA
"79","Guatemala","GTM",1999,1669.087422967,63,79.0233308767,38.8
"80","Guinea","GIN",1999,420.7663656623,84.4,21.9960302748,108.3
"81","Guinea-Bissau","GNB",1999,184.4407649196,71.5,10.8695066236,108.3
"82","Guyana","GUY",1999,949.7727724692,61.2,39.6535197661,38.4
"83","Haiti","HTI",1999,481.28673561,68.3,27.2128661579,80.2
"84","Honduras","HND",1999,882.1673035417,67.2,50.6168579763,31.8
"85","Hong Kong SAR, China","HKG",1999,24715.509942588,60.9,NA,NA
"86","Hungary","HUN",1999,4692.9554624934,48.8,345.6898782538,9.8
"87","Iceland","ISL",1999,31504.8663006211,79.7,3193.6841198744,3.1
"88","India","IND",1999,450.9198997153,58.7,19.2820541496,64.5
"89","Indonesia","IDN",1999,664.7397402269,67.9,16.1278300076,39.8
"90","Iran, Islamic Rep.","IRN",1999,1628.1704520889,51.4,172.9540132465,36.9
"91","Iraq","IRQ",1999,760.5929542779,41.7,10.5004882826,34.7
"92","Ireland","IRL",1999,25645.3708987369,58.1,1542.3402009816,6
"93","Isle of Man","IMN",1999,20653.8983931179,NA,NA,NA
"94","Israel","ISR",1999,18088.2675457693,55.3,1318.3870649709,5.8
"95","Italy","ITA",1999,21096.0791956993,47.6,1640.7044801208,5
"96","Jamaica","JAM",1999,3430.4259387083,68.4,162.4318057417,25.7
"97","Japan","JPN",1999,34494.5502581674,62.8,2601.2648031392,3.4
"98","Jordan","JOR",1999,1741.5962150365,49.6,161.1489181712,25.3
"99","Kazakhstan","KAZ",1999,1130.113603384,70,48.9453898614,38.8
"100","Kenya","KEN",1999,423.3466304348,81.5,15.2694653367,70.2
"101","Kiribati","KIR",1999,855.4578953036,NA,76.2093843063,51
"102","Korea, Dem. Rep.","PRK",1999,NA,65.6,NA,46.3
"103","Korea, Rep.","KOR",1999,9554.4394429295,60.5,443.8109763906,5
"104","Kosovo","KSV",1999,NA,NA,NA,NA
"105","Kuwait","KWT",1999,16218.2927270645,70.4,538.9071324013,10.7
"106","Kyrgyz Republic","KGZ",1999,256.765617962,65.1,15.3182937272,45.5
"107","Lao PDR","LAO",1999,278.5774618299,80.6,9.946191587,67.4
"108","Latvia","LVA",1999,3049.5918294983,57.5,196.1279808892,14.9
"109","Lebanon","LBN",1999,4712.9812759959,44.7,510.6694821847,25.1
"110","Lesotho","LSO",1999,404.8763807292,73.9,28.8530283718,87.4
"111","Liberia","LBR",1999,162.9679260726,71.3,15.8811360566,119.8
"112","Libya","LBY",1999,5937.3736241903,50.1,211.0926955667,22.6
"113","Liechtenstein","LIE",1999,82048.2260914267,NA,NA,5.7
"114","Lithuania","LTU",1999,3107.158028887,61.1,193.7165680286,9.7
"115","Luxembourg","LUX",1999,49219.4120472102,51.9,2843.5856167072,4.1
"116","Macao SAR, China","MAC",1999,13945.5608747337,65.4,NA,NA
"117","Macedonia, FYR","MKD",1999,1835.5629363655,53.3,164.4457945229,15.1
"118","Madagascar","MDG",1999,249.6221928133,86.7,8.029955805,68.3
"119","Malawi","MWI",1999,162.5964669429,77.3,9.9910364814,103.2
"120","Malaysia","MYS",1999,3461.1452010201,61.8,111.0871066446,9.6
"121","Maldives","MDV",1999,2193.7444415836,53.9,191.2340361296,40.8
"122","Mali","MLI",1999,234.3200062953,51.6,17.2462859085,115
"123","Malta","MLT",1999,10072.0620378988,49.1,669.6806898949,6.7
"124","Marshall Islands","MHL",1999,1831.0291858679,NA,330.5641421947,30.8
"125","Mauritania","MRT",1999,465.2452049249,68.2,18.7381491123,77.1
"126","Mauritius","MUS",1999,3651.2310783089,60.2,126.5985306267,17.4
"127","Mayotte","MYT",1999,NA,NA,NA,NA
"128","Mexico","MEX",1999,4884.6250143188,60.4,274.0186085325,25.4
"129","Micronesia, Fed. Sts.","FSM",1999,1988.3157875482,NA,155.5389779933,39.2
"130","Moldova","MDA",1999,321.0269725313,60.4,15.8373589218,22.8
"131","Monaco","MCO",1999,83410.1408629477,NA,3054.4058890694,4.1
"132","Mongolia","MNG",1999,442.6411439572,72.7,18.8002569756,49.6
"133","Montenegro","MNE",1999,NA,NA,95.5105584405,11.8
"134","Morocco","MAR",1999,1382.3945834405,54.3,55.6105497137,47.8
"135","Mozambique","MOZ",1999,250.7907785242,86.6,13.2601770204,121.2
"136","Myanmar","MMR",1999,NA,77.9,2.5055893645,64.9
"137","Namibia","NAM",1999,1829.1528917418,55.4,132.2163595726,48.4
"138","Nepal","NPL",1999,211.2723521843,70.2,12.3347441286,66.6
"139","Netherlands","NLD",1999,26033.3074635852,61.8,2094.8070873658,5.2
"140","New Caledonia","NCL",1999,14611.8328032133,59.4,NA,NA
"141","New Zealand","NZL",1999,15044.729779709,64.8,1155.6052234018,6.2
"142","Nicaragua","NIC",1999,749.2706796452,60.7,51.403697385,35.7
"143","Niger","NER",1999,191.3300011074,62,7.2066580926,101.2
"144","Nigeria","NGA",1999,287.9182899181,55.9,15.9901764447,114.1
"145","Northern Mariana Islands","MNP",1999,NA,NA,NA,NA
"146","Norway","NOR",1999,35660.3781829756,67.1,3310.2050955362,4
"147","Oman","OMN",1999,6953.2452184523,58.5,233.1672110158,18.8
"148","Pakistan","PAK",1999,445.7976721023,50.9,15.2859147036,80.6
"149","Palau","PLW",1999,6012.1318075864,NA,608.9212556812,20.4
"150","Panama","PAN",1999,3950.9441874773,63.5,271.3028721899,21.5
"151","Papua New Guinea","PNG",1999,663.4901877535,72.2,27.1234958241,56.3
"152","Paraguay","PRY",1999,1393.3081529519,68.5,106.9149769433,30
"153","Peru","PER",1999,2021.6794370569,64.8,97.9096760015,33.3
"154","Philippines","PHL",1999,1096.8098134423,66.4,35.2212998007,31.3
"155","Poland","POL",1999,4344.7180548428,55.6,248.7640822017,8.9
"156","Portugal","PRT",1999,12395.6516929317,60.6,982.5411987267,5.9
"157","Puerto Rico","PRI",1999,15220.9914599189,47.9,NA,NA
"158","Qatar","QAT",1999,21747.2958937371,75.3,610.6111833035,11
"159","Romania","ROU",1999,1584.8404395718,65.2,82.1675285371,23.3
"160","Russian Federation","RUS",1999,1338.9864442281,60,77.1320832915,19
"161","Rwanda","RWA",1999,254.6776494659,86.2,11.3598780503,111.7
"162","Samoa","WSM",1999,1316.5653428552,61.1,73.2036070242,19.9
"163","San Marino","SMR",1999,32140.9317815457,NA,2390.2351590133,5.2
"164","Sao Tome and Principe","STP",1999,NA,56.9,52.0994626952,57.6
"165","Saudi Arabia","SAU",1999,8220.9354734102,53.9,327.8398964685,22.8
"166","Senegal","SEN",1999,555.9334954728,75.7,23.2728717412,64.9
"167","Serbia","SRB",1999,2338.4307960039,NA,128.2780606024,11.8
"168","Seychelles","SYC",1999,7747.496145676,NA,450.4939561036,11.6
"169","Sierra Leone","SLE",1999,166.1741120346,67.8,25.3542463773,144.6
"170","Singapore","SGP",1999,21441.4633474172,65.2,643.9603449787,3.1
"171","Sint Maarten (Dutch part)","SXM",1999,NA,NA,NA,NA
"172","Slovak Republic","SVK",1999,5546.657702155,59.4,218.6729303205,9.9
"173","Slovenia","SVN",1999,11159.6750102491,58.2,873.1087663165,4.7
"174","Solomon Islands","SLB",1999,1212.7297500144,35.4,45.5452783928,29.2
"175","Somalia","SOM",1999,NA,71.3,NA,108.3
"176","South Africa","ZAF",1999,3102.8138183693,52,273.052160078,53
"177","South Sudan","SSD",1999,NA,NA,NA,NA
"178","Spain","ESP",1999,15475.5285309794,51.5,1127.056853257,5.4
"179","Sri Lanka","LKA",1999,841.2815408321,57.3,31.7360157778,19.9
"180","St. Kitts and Nevis","KNA",1999,7217.4332491979,NA,358.5543739559,13.5
"181","St. Lucia","LCA",1999,4505.4904274952,59.2,230.4215067706,15.1
"182","St. Martin (French part)","MAF",1999,NA,NA,NA,NA
"183","St. Vincent and the Grenadines","VCT",1999,3076.5712188459,64.9,175.1631077645,18.6
"184","Sudan","SDN",1999,320.1218831621,52,11.8966867511,72.5
"185","Suriname","SUR",1999,1923.1268751149,50.3,151.0833633545,35.3
"186","Swaziland","SWZ",1999,1464.3455365184,62.4,82.6106473756,75.8
"187","Sweden","SWE",1999,29220.035321855,63.2,2394.9599410475,3.5
"188","Switzerland","CHE",1999,37564.644382823,67.8,3824.9071851679,4.7
"189","Syrian Arab Republic","SYR",1999,1019.3312911654,50.9,56.8585625168,20.3
"190","Tajikistan","TJK",1999,178.0012555004,54.8,6.9076302741,77.1
"191","Tanzania","TZA",1999,299.9925892852,89,10.3569331631,83.7
"192","Thailand","THA",1999,1964.9481812561,73.1,69.3491236123,15.6
"193","Timor-Leste","TLS",1999,NA,68.3,33.1064319744,86.1
"194","Togo","TGO",1999,338.8896147703,72.6,19.1073432318,77.1
"195","Tonga","TON",1999,1997.970039603,59.7,89.6401669381,17.2
"196","Trinidad and Tobago","TTO",1999,5291.110055784,61.7,224.4740777336,28.1
"197","Tunisia","TUN",1999,2199.5636038565,48.2,128.0507706428,25.1
"198","Turkey","TUR",1999,3983.746201772,53,186.068943198,37.4
"199","Turkmenistan","TKM",1999,550.7870248861,62,29.9777725531,62.2
"200","Turks and Caicos Islands","TCA",1999,NA,NA,NA,NA
"201","Tuvalu","TUV",1999,1654.5684936424,NA,129.3044780182,35.8
"202","Uganda","UGA",1999,255.4478794066,85,15.9078515403,90.6
"203","Ukraine","UKR",1999,635.766242031,58.3,37.5050207576,15.5
"204","United Arab Emirates","ARE",1999,19051.6888348468,75.4,677.6952255388,11.3
"205","United Kingdom","GBR",1999,25604.8581986358,61.3,1763.3347067414,5.7
"206","United States","USA",1999,33332.1387614679,66.7,4450.044994026,7.2
"207","Uruguay","URY",1999,7292.5706056658,61.5,810.8315784069,15.2
"208","Uzbekistan","UZB",1999,699.937130411,58.6,41.9828126524,53.4
"209","Vanuatu","VUT",1999,1527.9935128179,83.6,47.1834088018,20.6
"210","Venezuela, RB","VEN",1999,4105.0042500797,62.5,231.3056230015,21.4
"211","Vietnam","VNM",1999,374.4764200647,74.6,18.5077739399,27.9
"212","Virgin Islands (U.S.)","VIR",1999,NA,61.2,NA,NA
"213","West Bank and Gaza","PSE",1999,1436.8233474685,39.2,NA,26.7
"214","Yemen, Rep.","YEM",1999,433.9620234857,45.4,21.1833087254,73.3
"215","Zambia","ZMB",1999,314.8620137719,70.3,17.7844144975,95.8
"216","Zimbabwe","ZWE",1999,545.9237051705,71.3,35.85432062,69.6
