"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",2001,92.2061148557,58.9,11.1174534372,103.8
"2","Albania","ALB",2001,1329.3850314672,61.1,80.0703213396,24.3
"3","Algeria","DZA",2001,1781.0538135118,55.8,67.8751903737,40.4
"4","American Samoa","ASM",2001,NA,NA,NA,NA
"5","Andorra","AND",2001,19050.4631185532,NA,1254.251389606,3.8
"6","Angola","AGO",2001,621.0641973776,82.6,20.9657483645,116.4
"7","Antigua and Barbuda","ATG",2001,8794.9452353389,NA,470.6985466479,12.1
"8","Argentina","ARG",2001,7203.2566534295,61.5,677.7793623806,17
"9","Armenia","ARM",2001,690.9977830912,64.3,47.2427332764,28
"10","Aruba","ABW",2001,20558.9116609031,NA,NA,NA
"11","Australia","AUS",2001,19596.5442117697,63.4,1644.8034795336,5.1
"12","Austria","AUT",2001,23642.2866742549,57.8,2373.7507414234,4.5
"13","Azerbaijan","AZE",2001,703.6761278357,64,31.2423872912,54
"14","Bahamas, The","BHS",2001,18762.5250471246,72.7,1075.9123095884,13.7
"15","Bahrain","BHR",2001,12340.5615625852,65.4,510.4258839062,10.3
"16","Bangladesh","BGD",2001,356.1180112293,70.7,9.454730544,59.6
"17","Barbados","BRB",2001,9523.7260380964,70.7,677.3935567041,15.2
"18","Belarus","BLR",2001,1239.1672910597,58.9,84.8675122964,9.8
"19","Belgium","BEL",2001,22567.7855393604,50.7,2047.7371746441,4.5
"20","Belize","BLZ",2001,3388.4211247445,61.3,124.601791888,21.6
"21","Benin","BEN",2001,352.8741360718,72.3,16.8328292938,86.9
"22","Bermuda","BMU",2001,58610.1504963176,NA,NA,NA
"23","Bhutan","BTN",2001,774.9500652949,55.9,50.9561045028,62.6
"24","Bolivia","BOL",2001,960.4568503112,71,60.5339242238,57.9
"25","Bosnia and Herzegovina","BIH",2001,1533.7308096051,62.2,110.5373639473,7.9
"26","Botswana","BWA",2001,3381.3780458655,75.1,182.8198648778,63.1
"27","Brazil","BRA",2001,3129.7554564427,67.8,228.0304922289,29.4
"28","Brunei Darussalam","BRN",2001,16752.2778194014,67.6,522.2464029365,7.1
