"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1986,NA,59.4,NA,NA
"2","Albania","ALB",1986,716.6067885038,62.3,NA,NA
"3","Algeria","DZA",1986,2799.405330678,45.6,NA,NA
"4","American Samoa","ASM",1986,NA,NA,NA,NA
"5","Andorra","AND",1986,9906.8142331586,NA,NA,NA
"6","Angola","AGO",1986,681.7715302524,82,NA,NA
"7","Antigua and Barbuda","ATG",1986,3810.0418654397,NA,NA,NA
"8","Argentina","ARG",1986,3600.4836055445,59,NA,NA
"9","Armenia","ARM",1986,NA,69,NA,NA
"10","Aruba","ABW",1986,NA,NA,NA,NA
"11","Australia","AUS",1986,11447.6459234723,62,NA,NA
"12","Austria","AUT",1986,12981.3119704338,54.7,NA,NA
"13","Azerbaijan","AZE",1986,NA,65.6,NA,NA
"14","Bahamas, The","BHS",1986,10345.6643109097,70.2,NA,NA
"15","Bahrain","BHR",1986,7084.6676564235,64,NA,NA
"16","Bangladesh","BGD",1986,223.1492014999,74.2,NA,NA
"17","Barbados","BRB",1986,5148.3456198836,66.1,NA,NA
"18","Belarus","BLR",1986,NA,68.8,NA,NA
"19","Belgium","BEL",1986,12005.7321925725,49.7,NA,NA
"20","Belize","BLZ",1986,1337.147887324,59.3,NA,NA
"21","Benin","BEN",1986,314.0481707108,72.1,NA,NA
"22","Bermuda","BMU",1986,20623.9021441125,NA,NA,NA
"23","Bhutan","BTN",1986,372.6730446155,57.4,NA,NA
"24","Bolivia","BOL",1986,650.1600323957,69.8,NA,NA
"25","Bosnia and Herzegovina","BIH",1986,NA,60.8,NA,NA
"26","Botswana","BWA",1986,1139.8922285145,72.5,NA,NA
"27","Brazil","BRA",1986,1928.3588968767,63.3,NA,NA
"28","Brunei Darussalam","BRN",1986,10469.234123084,62.3,NA,NA
"29","Bulgaria","BGR",1986,2262.0534055541,63.5,NA,NA
"30","Burkina Faso","BFA",1986,242.8727487655,84,NA,NA
"31","Burundi","BDI",1986,239.9515309122,90.1,NA,NA
"32","Cambodia","KHM",1986,NA,81.1,NA,NA
"33","Cameroon","CMR",1986,980.452076065,64.3,NA,NA
"34","Canada","CAN",1986,14076.7523440655,65.6,NA,NA
"35","Cape Verde","CPV",1986,641.6943909398,60.8,NA,NA
"36","Cayman Islands","CYM",1986,NA,NA,NA,NA
"37","Central African Republic","CAF",1986,416.3798061652,78,NA,NA
"38","Chad","TCD",1986,201.3070122234,72.8,NA,NA
"39","Channel Islands","CHI",1986,NA,NA,NA,NA
"40","Chile","CHL",1986,1439.6082771908,51.9,NA,NA
"41","China","CHN",1986,279.1851066672,79,NA,NA
"42","Colombia","COL",1986,1140.7647258102,51.4,NA,NA
"43","Comoros","COM",1986,409.9167104448,75,NA,NA
"44","Congo, Dem. Rep.","COD",1986,253.2670013966,68.5,NA,NA
"45","Congo, Rep.","COG",1986,863.8689540608,71.2,NA,NA
"46","Costa Rica","CRI",1986,1980.6850508734,54.7,NA,NA
"47","Cote d'Ivoire","CIV",1986,840.5132286655,67,NA,NA
"48","Croatia","HRV",1986,NA,57.5,NA,NA
"49","Cuba","CUB",1986,2385.5961212641,53.7,NA,NA
"50","Curacao","CUW",1986,NA,NA,NA,NA
"51","Cyprus","CYP",1986,5643.269119075,59.4,NA,NA
"52","Czech Republic","CZE",1986,NA,61.3,NA,NA
"53","Denmark","DNK",1986,16864.961492625,67.6,NA,NA
"54","Djibouti","DJI",1986,NA,65.1,NA,NA
"55","Dominica","DMA",1986,1534.7987194924,NA,NA,NA
"56","Dominican Republic","DOM",1986,924.3607685601,64.1,NA,NA
"57","Ecuador","ECU",1986,1105.7726934934,55.9,NA,NA
"58","Egypt, Arab Rep.","EGY",1986,691.3381598726,50.6,NA,NA
"59","El Salvador","SLV",1986,745.3427624679,61.3,NA,NA
"60","Equatorial Guinea","GNQ",1986,301.2595768067,66,NA,NA
"61","Eritrea","ERI",1986,NA,68.7,NA,NA
"62","Estonia","EST",1986,NA,71.2,NA,NA
"63","Ethiopia","ETH",1986,230.4158302294,81.3,NA,NA
"64","Faeroe Islands","FRO",1986,NA,NA,NA,NA
"65","Fiji","FJI",1986,1795.6378141971,54.7,NA,NA
"66","Finland","FIN",1986,14694.6636067729,65,NA,NA
"67","France","FRA",1986,13320.3186136465,56.8,NA,NA
"68","French Polynesia","PYF",1986,12897.2525486022,61.5,NA,NA
"69","Gabon","GAB",1986,4156.6125434325,73.3,NA,NA
"70","Gambia, The","GMB",1986,230.0439750108,78.4,NA,NA
"71","Georgia","GEO",1986,NA,68.1,NA,NA
"72","Germany","DEU",1986,13025.9272948235,56,NA,NA
"73","Ghana","GHA",1986,431.8830775762,71.3,NA,NA
"74","Gibraltar","GIB",1986,NA,NA,NA,NA
"75","Greece","GRC",1986,5445.0238091795,51.4,NA,NA
"76","Greenland","GRL",1986,11271.3330380617,NA,NA,NA
"77","Grenada","GRD",1986,1439.218829263,NA,NA,NA
"78","Guam","GUM",1986,NA,66.4,NA,NA
"79","Guatemala","GTM",1986,888.0804605725,63.6,NA,NA
"80","Guinea","GIN",1986,381.031380352,84.6,NA,NA
"81","Guinea-Bissau","GNB",1986,138.6300230138,71,NA,NA
"82","Guyana","GUY",1986,677.3704027952,57.4,NA,NA
"83","Haiti","HTI",1986,NA,68.2,NA,NA
"84","Honduras","HND",1986,874.66369761,63.9,NA,NA
"85","Hong Kong SAR, China","HKG",1986,7405.3224335316,65.4,NA,NA
"86","Hungary","HUN",1986,2255.1168385767,57.1,NA,NA
"87","Iceland","ISL",1986,16174.9726976125,78,NA,NA
"88","India","IND",1986,315.0937509633,60.3,NA,NA
"89","Indonesia","IDN",1986,466.9012814392,66.1,NA,NA
"90","Iran, Islamic Rep.","IRN",1986,4119.0727209484,51.7,NA,NA
"91","Iraq","IRQ",1986,2474.9009721924,42.2,NA,NA
"92","Ireland","IRL",1986,7870.1404194578,53.1,NA,NA
"93","Isle of Man","IMN",1986,NA,NA,NA,NA
"94","Israel","ISR",1986,6908.9193478584,51.9,NA,NA
"95","Italy","ITA",1986,10901.8851983819,50.2,NA,NA
"96","Jamaica","JAM",1986,1179.27462887,73.6,NA,NA
"97","Japan","JPN",1986,16633.9113673912,62.9,NA,NA
"98","Jordan","JOR",1986,2253.0301944034,42.7,NA,NA
"99","Kazakhstan","KAZ",1986,NA,70,NA,NA
"100","Kenya","KEN",1986,355.0741354565,82.3,NA,NA
"101","Kiribati","KIR",1986,309.6045710777,NA,NA,NA
"102","Korea, Dem. Rep.","PRK",1986,NA,66.5,NA,NA
"103","Korea, Rep.","KOR",1986,2702.6412208499,57.9,NA,NA
"104","Kosovo","KSV",1986,NA,NA,NA,NA
"105","Kuwait","KWT",1986,9752.5899342351,61.7,NA,NA
"106","Kyrgyz Republic","KGZ",1986,NA,65,NA,NA
