"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",2000,NA,58.9,11.0090643274,104.2
"2","Albania","ALB",2000,1200.1374371175,61.3,75.3420868439,25.3
"3","Algeria","DZA",2000,1794.4052331656,55.2,62.6645542893,41.4
"4","American Samoa","ASM",2000,NA,NA,NA,NA
"5","Andorra","AND",2000,17539.4420048658,NA,1289.1542029627,3.9
"6","Angola","AGO",2000,655.5318000259,82.5,15.4012181347,118.9
"7","Antigua and Barbuda","ATG",2000,8552.7719988711,NA,411.2554112554,12.8
"8","Argentina","ARG",2000,7695.5940726727,60.9,688.9713382234,17.5
"9","Armenia","ARM",2000,621.4248263189,64.1,40.639422673,29.2
"10","Aruba","ABW",2000,20589.7718336198,NA,NA,NA
"11","Australia","AUS",2000,21768.0425244159,63.3,1728.4619933243,5.1
"12","Austria","AUT",2000,23865.5505353862,58.3,2361.0200940013,4.6
"13","Azerbaijan","AZE",2000,655.1027405977,63.9,30.3553451738,55.8
"14","Bahamas, The","BHS",2000,18572.7596907085,72.6,1072.0542498327,13.8
"15","Bahrain","BHR",2000,12489.4677538348,65.2,487.6899933828,10.5
"16","Bangladesh","BGD",2000,363.6399273192,70.6,9.0932469727,62.9
"17","Barbados","BRB",2000,9565.4012283607,70.5,639.7622150873,15.1
"18","Belarus","BLR",2000,1273.0491239487,58.8,66.4347141737,10.6
"19","Belgium","BEL",2000,22665.965270539,52.1,2025.2752672853,4.7
"20","Belize","BLZ",2000,3330.954622309,60.9,122.8550072361,22.7
"21","Benin","BEN",2000,345.9503551827,72.5,15.2668929634,88.6
"22","Bermuda","BMU",2000,56459.1588739921,NA,NA,NA
"23","Bhutan","BTN",2000,748.8837298946,54.7,52.5607382566,65
"24","Bolivia","BOL",2000,1010.9073673768,70.7,61.3445684028,60
"25","Bosnia and Herzegovina","BIH",2000,1490.6428343515,62.4,105.6397566672,8.1
"26","Botswana","BWA",2000,3203.9996757585,74.9,154.9226855851,63.9
"27","Brazil","BRA",2000,3696.1467719226,68,265.1910082866,31.2
"28","Brunei Darussalam","BRN",2000,18350.1306212938,67.5,540.6989651093,7.2
"29","Bulgaria","BGR",2000,1600.9362997629,52.4,94.9833913099,17
"30","Burkina Faso","BFA",2000,212.3753863832,84,11.4727701658,98.1
"31","Burundi","BDI",2000,111.2368686967,90.2,7.1342160047,99.7
"32","Cambodia","KHM",2000,293.5684653546,79.6,16.5443343828,77.3
"33","Cameroon","CMR",2000,642.6117788107,66.2,26.7284335564,90.8
"34","Canada","CAN",2000,23559.5036897592,65.3,2082.266758896,5.3
"35","Cape Verde","CPV",2000,1215.3244500704,62.6,56.9512942301,36.7
"36","Cayman Islands","CYM",2000,NA,NA,NA,NA
"37","Central African Republic","CAF",2000,259.1882527206,78.3,9.8523232382,114.7
"38","Chad","TCD",2000,168.449997663,72.3,10.3473525801,105.4
"39","Channel Islands","CHI",2000,44310.9023237476,NA,NA,NA
"40","Chile","CHL",2000,4877.522032011,54.6,323.5917857101,9.1
"41","China","CHN",2000,949.1823289309,77.4,43.7222128521,27.3
"42","Colombia","COL",2000,2523.9757793696,56.6,161.1583023017,22.7
"43","Comoros","COM",2000,358.9545739506,77,10.2967299648,74.7
"44","Congo, Dem. Rep.","COD",2000,86.76459563,70.5,11.1838173065,117.3
"45","Congo, Rep.","COG",2000,1026.8261820107,71.9,22.3930954254,66.9
"46","Costa Rica","CRI",2000,4068.8213505972,59.6,264.7219575608,11
"47","Cote d'Ivoire","CIV",2000,628.2248275052,66.5,30.4836348886,100.2
"48","Croatia","HRV",2000,4856.0053165347,53.6,375.3964867166,7.3
"49","Cuba","CUB",2000,2752.6061270067,54,184.1856627754,6.6
"50","Curacao","CUW",2000,NA,NA,NA,NA
"51","Cyprus","CYP",2000,13424.185893588,59.4,740.2101191642,5.4
"52","Czech Republic","CZE",2000,5521.1894260407,60,361.6126546716,5.4
"53","Denmark","DNK",2000,29992.9406013154,65.8,2474.108280429,4.6
"54","Djibouti","DJI",2000,753.1196451252,68.8,43.8803015652,83.1
"55","Dominica","DMA",2000,3892.0464731555,NA,236.6948904919,12.9
"56","Dominican Republic","DOM",2000,2792.9176957772,64.8,170.0683977623,32.9
"57","Ecuador","ECU",2000,1291.3416130102,59.3,53.7321009164,26.7
"58","Egypt, Arab Rep.","EGY",2000,1475.8444095689,48.9,75.7839560863,37
"59","El Salvador","SLV",2000,2211.0224589478,60.9,176.3909308789,28
"60","Equatorial Guinea","GNQ",2000,2410.206075055,62.8,42.4052665177,97.9
"61","Eritrea","ERI",2000,172.7571562253,68.4,9.1138919678,60.4
"62","Estonia","EST",2000,4144.3812080649,58.5,219.6807933491,10.1
"63","Ethiopia","ETH",2000,124.7300409645,81.7,5.3228141317,87.2
"64","Faeroe Islands","FRO",2000,23224.0986344016,NA,NA,NA
"65","Fiji","FJI",2000,2074.7473180259,59,84.5876242051,19.2
"66","Finland","FIN",2000,23514.4606327981,63.2,1691.6675665798,3.5
"67","France","FRA",2000,21828.2931755864,55.2,2184.25699621,4.4
"68","French Polynesia","PYF",2000,14507.5414619778,58.9,NA,NA
"69","Gabon","GAB",2000,4102.6031343986,73.7,102.5200105018,63.4
"70","Gambia, The","GMB",2000,324.4929281075,78.2,18.6865928743,66.1
"71","Georgia","GEO",2000,691.997705192,63.6,45.0185704536,29.3
"72","Germany","DEU",2000,23114.233264068,58.2,2366.0511015422,4.4
"73","Ghana","GHA",2000,259.7110113138,74.6,18.4360780591,64
"74","Gibraltar","GIB",2000,NA,NA,NA,NA
"75","Greece","GRC",2000,11500.6667127285,53,918.0610098,6.6
"76","Greenland","GRL",2000,19004.0034517255,NA,NA,NA
"77","Grenada","GRD",2000,4231.390829831,NA,259.092386197,12.6
"78","Guam","GUM",2000,NA,65.9,NA,NA
"79","Guatemala","GTM",2000,1716.685341713,63,95.1038421261,37.3
"80","Guinea","GIN",2000,372.9843358212,84.4,19.4930181179,105.6
"81","Guinea-Bissau","GNB",2000,173.6626945628,71.4,9.645119574,106.6
"82","Guyana","GUY",2000,972.127885621,61.5,51.3611020498,37.3
"83","Haiti","HTI",2000,423.8688941827,68.5,25.6716206539,77.7
"84","Honduras","HND",2000,1142.709658431,65.8,62.0457348087,30.5
"85","Hong Kong SAR, China","HKG",2000,25374.4955908689,60.9,NA,NA
"86","Hungary","HUN",2000,4689.608437198,49,326.3671067652,9.3
"87","Iceland","ISL",2000,30951.239268527,80.6,2995.7120864412,2.9
"88","India","IND",2000,452.9693997509,58.4,20.6753316598,62.7
"89","Indonesia","IDN",2000,773.3111368709,67.8,15.842502523,38.4
"90","Iran, Islamic Rep.","IRN",2000,1550.0906078564,51.5,225.6157161799,35.2
"91","Iraq","IRQ",2000,1063.4814945031,41.6,15.8978450162,34.4
"92","Ireland","IRL",2000,25427.137319926,59.1,1538.0783647672,5.9
"93","Isle of Man","IMN",2000,20359.4625159926,NA,NA,NA
