"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",2009,NA,59.8,50.8859656841,103.2
"2","Albania","ALB",2009,3772.6047406594,59.5,264.604055074,17.2
"3","Algeria","DZA",2009,4022.1988778337,58.5,267.9465312808,32
"4","American Samoa","ASM",2009,NA,NA,NA,NA
"5","Andorra","AND",2009,NA,NA,3089.6358852724,3.1
"6","Angola","AGO",2009,4068.5757150165,81.3,203.8078736075,99.9
"7","Antigua and Barbuda","ATG",2009,12501.8665735278,NA,652.5316926746,7.3
"8","Argentina","ARG",2009,7665.0734439345,65,730.173013751,12.7
"9","Armenia","ARM",2009,2768.6126273723,66.3,128.8576101972,18.4
"10","Aruba","ABW",2009,NA,NA,NA,NA
"11","Australia","AUS",2009,42130.8203246556,65.2,3867.4285290684,4.2
"12","Austria","AUT",2009,45555.4345438633,60.4,5037.3108857138,3.6
"13","Azerbaijan","AZE",2009,4808.1688373268,63,284.7252841652,41.1
"14","Bahamas, The","BHS",2009,20916.2842344499,73.3,1557.655119179,14
"15","Bahrain","BHR",2009,17608.8298050614,63.8,1107.9063148033,8.9
"16","Bangladesh","BGD",2009,607.7649412769,70.7,18.4312546904,40
"17","Barbados","BRB",2009,13181.3415673694,71.7,1041.4409470655,17.1
"18","Belarus","BLR",2009,5182.6304041439,60.2,294.6147685032,4.5
"19","Belgium","BEL",2009,43640.1961843332,53.5,5104.0189861505,3.6
"20","Belize","BLZ",2009,4056.1224489796,64.1,217.1521439296,14.9
"21","Benin","BEN",2009,771.7087701577,72.7,31.928850264,74.7
"22","Bermuda","BMU",2009,88746.8944099379,NA,NA,NA
"23","Bhutan","BTN",2009,1772.2838031282,62.7,97.9891181712,45.6
"24","Bolivia","BOL",2009,1774.1952083435,71.9,84.7876341115,43.4
"25","Bosnia and Herzegovina","BIH",2009,4523.3114303405,61.2,494.8795136377,7.5
"26","Botswana","BWA",2009,5790.1819315969,76.6,611.9234232546,37.1
"27","Brazil","BRA",2009,8251.0615582027,70.7,734.0513822568,18.4
"28","Brunei Darussalam","BRN",2009,27390.050030207,67.5,790.7287119618,5.9
"29","Bulgaria","BGR",2009,6403.1476861133,54.5,474.8463716128,11.1
"30","Burkina Faso","BFA",2009,509.2977848041,84.4,38.0754642452,93.3
"31","Burundi","BDI",2009,162.8704077235,89.3,19.7889136127,88.5
"32","Cambodia","KHM",2009,748.1511500052,79.3,42.1033535509,45.6
"33","Cameroon","CMR",2009,1157.024518928,67,61.0538461513,85.2
"34","Canada","CAN",2009,39599.0418054439,67.8,4379.760838202,5.2
"35","Cape Verde","CPV",2009,3227.9520327612,66.4,146.105125861,29.9
"36","Cayman Islands","CYM",2009,NA,NA,NA,NA
"37","Central African Republic","CAF",2009,458.5672053487,79,19.3379156414,106.8
"38","Chad","TCD",2009,625.3019474238,70.4,41.7844313786,99.6
"39","Channel Islands","CHI",2009,NA,NA,NA,NA
"40","Chile","CHL",2009,9487.0110667172,57.3,787.1933185013,7.7
"41","China","CHN",2009,3748.9343557419,73.7,177.1465330334,16.8
"42","Colombia","COL",2009,5165.7319250248,58.6,323.0108128809,17.1
"43","Comoros","COM",2009,747.9124803009,79.6,27.8365237842,64
"44","Congo, Dem. Rep.","COD",2009,174.5076053588,70.8,15.5842473528,112.8
"45","Congo, Rep.","COG",2009,2430.5254724135,72.7,70.0720966525,60.9
"46","Costa Rica","CRI",2009,6369.1662917235,62.7,668.49256101,8.8
"47","Cote d'Ivoire","CIV",2009,1190.7894944163,66.9,55.254890711,87.3
"48","Croatia","HRV",2009,14322.6081019954,53,1120.371091199,4.9
"49","Cuba","CUB",2009,NA,53.9,707.3967037302,4.7
"50","Curacao","CUW",2009,NA,NA,NA,NA
"51","Cyprus","CYP",2009,31298.437480409,62.3,NA,3.3
"52","Czech Republic","CZE",2009,18136.8450606611,57.9,1383.6514363709,3.3
"53","Denmark","DNK",2009,55933.3544723908,65.4,6272.7286815712,3.4
"54","Djibouti","DJI",2009,1202.919901334,70.1,84.45174367,74.1
"55","Dominica","DMA",2009,5532.0536519559,NA,361.2918805492,11.5
"56","Dominican Republic","DOM",2009,4756.3591278728,65.1,270.6475982346,23.2
"57","Ecuador","ECU",2009,3647.6989974313,62.3,255.4997949109,18.2
"58","Egypt, Arab Rep.","EGY",2009,2370.7111103535,48.8,113.297174278,20
"59","El Salvador","SLV",2009,3425.1706416913,59.9,228.5718921638,15
"60","Equatorial Guinea","GNQ",2009,17944.404478084,65.5,709.407129648,82.4
"61","Eritrea","ERI",2009,364.2048206285,72.6,10.121322388,43.7
"62","Estonia","EST",2009,14238.8816907481,61.2,1004.4254978437,4.8
"63","Ethiopia","ETH",2009,393.6831563668,85.4,14.6807599896,69.5
"64","Faeroe Islands","FRO",2009,45205.9305354907,NA,NA,NA
"65","Fiji","FJI",2009,3314.2707296826,58.7,130.410018531,15.4
"66","Finland","FIN",2009,44576.7269727482,60.9,4309.6039626699,2.5
"67","France","FRA",2009,40663.0502433953,56.1,4797.9655563524,3.5
"68","French Polynesia","PYF",2009,NA,57.3,NA,NA
"69","Gabon","GAB",2009,7411.1838844101,75.5,266.2645405194,55.2
"70","Gambia, The","GMB",2009,436.1471957367,77.8,25.628799251,57.8
"71","Georgia","GEO",2009,2441.0104960935,63.7,255.6273656619,20.5
"72","Germany","DEU",2009,40658.5822724772,59.8,4628.769199465,3.5
"73","Ghana","GHA",2009,1098.4257394514,74.6,45.0524516979,51.3
"74","Gibraltar","GIB",2009,NA,NA,NA,NA
"75","Greece","GRC",2009,28936.4808718888,53.7,3040.7338305388,3.5
"76","Greenland","GRL",2009,22507.8887155204,NA,NA,NA
"77","Grenada","GRD",2009,5906.456800733,NA,446.526632238,9.4
"78","Guam","GUM",2009,NA,64.4,NA,NA
"79","Guatemala","GTM",2009,2684.9664061475,66.9,186.1231265171,25.9
"80","Guinea","GIN",2009,426.653012824,84.2,18.7702335704,83.6
"81","Guinea-Bissau","GNB",2009,562.4150146681,71.5,18.3588895648,93.1
"82","Guyana","GUY",2009,2689.8558792573,63.5,132.5086682485,26.2
"83","Haiti","HTI",2009,656.7792202784,69.9,39.6024871627,59.3
"84","Honduras","HND",2009,1921.8794653203,59.9,117.0635277901,21.2
"85","Hong Kong SAR, China","HKG",2009,29881.8143612784,60,NA,NA
"86","Hungary","HUN",2009,12847.3031482234,50.1,937.9861716904,5.7
"87","Iceland","ISL",2009,37972.2370348877,77.5,3130.3908630232,1.7
"88","India","IND",2009,1195.0003189814,57.6,44.8025797914,49.5
"89","Indonesia","IDN",2009,2271.7752528061,68.9,55.4436475465,28.1
"90","Iran, Islamic Rep.","IRN",2009,4525.9486080335,52.8,268.7546995726,22.8
"91","Iraq","IRQ",2009,2096.8510541037,41.3,98.4540593263,31.9
"92","Ireland","IRL",2009,49737.927449366,63.6,4951.8446871335,3.4
"93","Isle of Man","IMN",2009,NA,NA,NA,NA
"94","Israel","ISR",2009,26102.3505745939,57.1,1966.4718896328,3.7
"95","Italy","ITA",2009,35073.3224650438,49.1,3327.6298693268,3.2
"96","Jamaica","JAM",2009,4693.4274622834,64.7,231.0817637284,20.7
"97","Japan","JPN",2009,39456.4387615953,59.5,3321.4663882482,2.4
"98","Jordan","JOR",2009,4242.1536972636,49.3,335.8154414592,18.9
"99","Kazakhstan","KAZ",2009,7240.5702578293,70.6,330.111335289,29.9
"100","Kenya","KEN",2009,744.4031028842,82.2,33.249120238,56.3
"101","Kiribati","KIR",2009,1305.803786859,NA,158.5064324214,39.6
"102","Korea, Dem. Rep.","PRK",2009,NA,66,NA,26.4
"103","Korea, Rep.","KOR",2009,17109.9850624854,60.9,1107.9483325155,4.3
"104","Kosovo","KSV",2009,3010.9933584198,NA,NA,NA
"105","Kuwait","KWT",2009,41364.6893367253,68.5,1416.0999037984,9.6
"106","Kyrgyz Republic","KGZ",2009,881.3604649333,66.6,57.0936551088,34
"107","Lao PDR","LAO",2009,997.2400973062,78.3,35.8247702505,44.3
"108","Latvia","LVA",2009,11475.6923347794,61.5,750.4492570617,8.5
"109","Lebanon","LBN",2009,8321.3707405574,46.1,663.27358145,19.4
"110","Lesotho","LSO",2009,800.4201911709,74,70.0499259164,67
"111","Liberia","LBR",2009,229.2703052092,71.1,29.3561294764,77.6
"112","Libya","LBY",2009,9957.4904063992,52.8,416.7452411318,14
"113","Liechtenstein","LIE",2009,134914.672826907,NA,NA,1.8
"114","Lithuania","LTU",2009,11033.5884564141,55.7,729.7849192058,5.7
"115","Luxembourg","LUX",2009,106252.244167457,55.5,8182.8551093548,2.2
"116","Macao SAR, China","MAC",2009,40919.3261956571,69.4,NA,NA
"117","Macedonia, FYR","MKD",2009,4510.2380383035,54,313.6897123673,10.6
"118","Madagascar","MDG",2009,421.7802278298,86.4,17.9702329398,44.9
"119","Malawi","MWI",2009,327.3363165351,76.8,19.0655557843,61.4
"120","Malaysia","MYS",2009,6908.661090062,62,336.4385766161,5.6
"121","Maldives","MDV",2009,4230.0510202445,67.1,330.6986512774,15
"122","Mali","MLI",2009,601.2609040956,51.9,38.4278916243,100.6
"123","Malta","MLT",2009,19326.4587990591,49.4,1446.4327513702,5.2
"124","Marshall Islands","MHL",2009,2861.6375758484,NA,422.4958949097,22.8
"125","Mauritania","MRT",2009,896.1959091485,70,21.9172541107,75.4
"126","Mauritius","MUS",2009,6951.2786522252,57.5,383.0531533178,13.2
"127","Mayotte","MYT",2009,NA,NA,NA,NA
