"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1989,NA,59.3,NA,NA
"2","Albania","ALB",1989,717.2070387569,62.6,NA,NA
"3","Algeria","DZA",1989,2255.1995611295,48,NA,NA
"4","American Samoa","ASM",1989,NA,NA,NA,NA
"5","Andorra","AND",1989,15524.4705990139,NA,NA,NA
"6","Angola","AGO",1989,923.4511519496,81.8,NA,NA
"7","Antigua and Barbuda","ATG",1989,6004.0471931291,NA,NA,NA
"8","Argentina","ARG",1989,2380.9763608774,59.6,NA,NA
"9","Armenia","ARM",1989,NA,69.3,NA,NA
"10","Aruba","ABW",1989,NA,NA,NA,NA
"11","Australia","AUS",1989,17952.069016899,63.2,NA,NA
"12","Austria","AUT",1989,17285.7560841732,55.2,NA,NA
"13","Azerbaijan","AZE",1989,NA,66.2,NA,NA
"14","Bahamas, The","BHS",1989,12166.677924751,71.2,NA,NA
"15","Bahrain","BHR",1989,8082.8545218795,64.7,NA,NA
"16","Bangladesh","BGD",1989,261.2467403483,74.9,NA,NA
"17","Barbados","BRB",1989,6589.3340548026,70.5,NA,NA
"18","Belarus","BLR",1989,NA,68.1,NA,NA
"19","Belgium","BEL",1989,16301.7514074568,48.4,NA,NA
"20","Belize","BLZ",1989,1982.2599126638,59.1,NA,NA
"21","Benin","BEN",1989,324.6646584905,72.4,NA,NA
"22","Bermuda","BMU",1989,25192.953557047,NA,NA,NA
"23","Bhutan","BTN",1989,472.539896971,56.9,NA,NA
"24","Bolivia","BOL",1989,724.596888296,70,NA,NA
"25","Bosnia and Herzegovina","BIH",1989,NA,60.7,NA,NA
"26","Botswana","BWA",1989,2298.5878036736,72.6,NA,NA
"27","Brazil","BRA",1989,2893.4607250564,64.5,NA,NA
"28","Brunei Darussalam","BRN",1989,12180.0156236336,64.5,NA,NA
"29","Bulgaria","BGR",1989,2449.793106233,59.8,NA,NA
"30","Burkina Faso","BFA",1989,288.1684271202,84,NA,NA
"31","Burundi","BDI",1989,203.738793907,90.4,NA,NA
"32","Cambodia","KHM",1989,NA,80.5,NA,NA
"33","Cameroon","CMR",1989,941.2533379513,64.8,NA,NA
"34","Canada","CAN",1989,20289.7663725305,66.9,NA,NA
"35","Cape Verde","CPV",1989,861.5311161456,61,NA,NA
"36","Cayman Islands","CYM",1989,NA,NA,NA,NA
"37","Central African Republic","CAF",1989,442.2734869042,78,NA,NA
"38","Chad","TCD",1989,246.0440273375,72.3,NA,NA
"39","Channel Islands","CHI",1989,NA,NA,NA,NA
"40","Chile","CHL",1989,2190.8648966188,54.2,NA,NA
"41","China","CHN",1989,307.4899926038,79.1,NA,NA
"42","Colombia","COL",1989,1214.4684985553,52.7,NA,NA
"43","Comoros","COM",1989,464.9883797794,75.5,NA,NA
"44","Congo, Dem. Rep.","COD",1989,256.9029194392,68.5,NA,NA
"45","Congo, Rep.","COG",1989,1027.7706598191,71.4,NA,NA
"46","Costa Rica","CRI",1989,2294.0494612868,58.5,NA,NA
"47","Cote d'Ivoire","CIV",1989,806.3514769055,67.1,NA,NA
"48","Croatia","HRV",1989,NA,57.1,NA,NA
"49","Cuba","CUB",1989,2580.2604342947,54,NA,NA
"50","Curacao","CUW",1989,NA,NA,NA,NA
"51","Cyprus","CYP",1989,8041.7692187352,58.5,NA,NA
"52","Czech Republic","CZE",1989,NA,60.6,NA,NA
"53","Denmark","DNK",1989,21441.3425939155,67.8,NA,NA
"54","Djibouti","DJI",1989,765.0947409367,66.1,NA,NA
"55","Dominica","DMA",1989,2152.9207929719,NA,NA,NA
"56","Dominican Republic","DOM",1989,948.3882979335,64.3,NA,NA
"57","Ecuador","ECU",1989,950.1809000715,55.5,NA,NA
"58","Egypt, Arab Rep.","EGY",1989,712.2416819417,50.6,NA,NA
"59","El Salvador","SLV",1989,831.4324036882,61,NA,NA
"60","Equatorial Guinea","GNQ",1989,309.1332347958,65.3,NA,NA
"61","Eritrea","ERI",1989,NA,68.8,NA,NA
"62","Estonia","EST",1989,3268.1463883934,70.4,NA,NA
"63","Ethiopia","ETH",1989,243.6332143234,81.2,NA,NA
"64","Faeroe Islands","FRO",1989,NA,NA,NA,NA
"65","Fiji","FJI",1989,1632.6339683746,56.1,NA,NA
"66","Finland","FIN",1989,23517.5165538263,65.7,NA,NA
"67","France","FRA",1989,17394.2663488398,55.6,NA,NA
"68","French Polynesia","PYF",1989,13786.3568091175,61.7,NA,NA
"69","Gabon","GAB",1989,4652.9365860245,73.2,NA,NA
"70","Gambia, The","GMB",1989,306.127734218,78.3,NA,NA
"71","Georgia","GEO",1989,NA,68.3,NA,NA
"72","Germany","DEU",1989,17190.6696219053,56.6,NA,NA
"73","Ghana","GHA",1989,364.6967147793,71.3,NA,NA
"74","Gibraltar","GIB",1989,NA,NA,NA,NA
"75","Greece","GRC",1989,7550.5014021935,51.4,NA,NA
"76","Greenland","GRL",1989,16813.7414501107,NA,NA,NA
"77","Grenada","GRD",1989,2201.4430222015,NA,NA,NA
"78","Guam","GUM",1989,NA,67,NA,NA
