"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1990,NA,59.2,NA,NA
"2","Albania","ALB",1990,638.8921784974,62.4,NA,NA
"3","Algeria","DZA",1990,2452.4547224524,48.8,NA,NA
"4","American Samoa","ASM",1990,NA,NA,NA,NA
"5","Andorra","AND",1990,19498.4071287807,NA,NA,NA
"6","Angola","AGO",1990,992.7568202541,81.9,NA,NA
"7","Antigua and Barbuda","ATG",1990,6295.1410477957,NA,NA,NA
"8","Argentina","ARG",1990,4330.3245729805,59.8,NA,NA
"9","Armenia","ARM",1990,636.6806899965,69,NA,NA
"10","Aruba","ABW",1990,NA,NA,NA,NA
"11","Australia","AUS",1990,18430.5196584533,63.8,NA,NA
"12","Austria","AUT",1990,21378.4619934796,55.7,NA,NA
"13","Azerbaijan","AZE",1990,1237.324491677,66.4,NA,NA
"14","Bahamas, The","BHS",1990,12361.0069965017,71.6,NA,NA
"15","Bahrain","BHR",1990,8581.5877727014,65,NA,NA
"16","Bangladesh","BGD",1990,286.2427690703,75.2,NA,NA
"17","Barbados","BRB",1990,6591.2498626571,69.1,NA,NA
"18","Belarus","BLR",1990,1704.7403040648,67.2,NA,NA
"19","Belgium","BEL",1990,20322.5701930253,48.3,NA,NA
"20","Belize","BLZ",1990,2185.4496507937,59.1,NA,NA
"21","Benin","BEN",1990,386.5469384131,72.5,NA,NA
"22","Bermuda","BMU",1990,26320.6611570248,NA,NA,NA
"23","Bhutan","BTN",1990,503.6473463975,56.5,NA,NA
"24","Bolivia","BOL",1990,731.0371021841,70,NA,NA
"25","Bosnia and Herzegovina","BIH",1990,NA,60,NA,NA
"26","Botswana","BWA",1990,2742.8136096204,72.7,NA,NA
"27","Brazil","BRA",1990,3086.8770204032,64.7,NA,NA
"28","Brunei Darussalam","BRN",1990,13963.5170020344,65.1,NA,NA
"29","Bulgaria","BGR",1990,2377.4145944831,59,NA,NA
"30","Burkina Faso","BFA",1990,332.6159372484,83.9,NA,NA
"31","Burundi","BDI",1990,202.0988647269,90.4,NA,NA
"32","Cambodia","KHM",1990,NA,80.8,NA,NA
"33","Cameroon","CMR",1990,915.5031942335,65.1,NA,NA
"34","Canada","CAN",1990,20968.041152761,66.8,NA,NA
"35","Cape Verde","CPV",1990,972.7887217743,61.2,NA,NA
"36","Cayman Islands","CYM",1990,NA,NA,NA,NA
"37","Central African Republic","CAF",1990,506.8565609474,78.1,NA,NA
"38","Chad","TCD",1990,289.2273836,72.4,NA,NA
"39","Channel Islands","CHI",1990,NA,NA,NA,NA
"40","Chile","CHL",1990,2393.0357803021,54.1,NA,NA
"41","China","CHN",1990,314.4306004607,79.2,NA,NA
"42","Colombia","COL",1990,1212.9571194168,53,NA,NA
"43","Comoros","COM",1990,571.013384239,75.5,NA,NA
"44","Congo, Dem. Rep.","COD",1990,256.8177371736,68.7,NA,NA
"45","Congo, Rep.","COG",1990,1171.5650748266,71.5,NA,NA
"46","Costa Rica","CRI",1990,2411.3611050771,59,NA,NA
"47","Cote d'Ivoire","CIV",1990,862.4599220412,67.1,NA,NA
"48","Croatia","HRV",1990,5184.5529653653,57.1,NA,NA
"49","Cuba","CUB",1990,2709.9530917,54.1,NA,NA
"50","Curacao","CUW",1990,NA,NA,NA,NA
"51","Cyprus","CYP",1990,9639.1068799882,59.8,NA,NA
"52","Czech Republic","CZE",1990,3365.8174342181,60.7,NA,NA
"53","Denmark","DNK",1990,26427.6564251251,68.3,NA,NA
"54","Djibouti","DJI",1990,804.4391772788,66.1,NA,NA
"55","Dominica","DMA",1990,2345.0106478695,NA,NA,NA
"56","Dominican Republic","DOM",1990,983.1831973289,64.5,NA,NA
"57","Ecuador","ECU",1990,1009.2954513032,55.4,NA,NA
"58","Egypt, Arab Rep.","EGY",1990,758.7602078603,50.5,NA,NA
"59","El Salvador","SLV",1990,900.2531660861,60.9,NA,NA
"60","Equatorial Guinea","GNQ",1990,353.4129705146,64.9,NA,NA
"61","Eritrea","ERI",1990,NA,68.6,NA,NA
"62","Estonia","EST",1990,3192.9627862791,69.2,NA,NA
"63","Ethiopia","ETH",1990,249.9847244999,81.2,NA,NA
"64","Faeroe Islands","FRO",1990,NA,NA,NA,NA
"65","Fiji","FJI",1990,1835.5891517278,56.5,NA,NA
"66","Finland","FIN",1990,27846.9030654827,65.2,NA,NA
"67","France","FRA",1990,21383.5593399011,55.2,NA,NA
"68","French Polynesia","PYF",1990,16281.8991663322,61.6,NA,NA
"69","Gabon","GAB",1990,6406.9204389375,73.1,NA,NA
"70","Gambia, The","GMB",1990,328.0258297098,78.3,NA,NA
"71","Georgia","GEO",1990,1611.4108421544,68.5,NA,NA
"72","Germany","DEU",1990,21583.8514093502,58.2,NA,NA
"73","Ghana","GHA",1990,397.8799789851,71.3,NA,NA
"74","Gibraltar","GIB",1990,NA,NA,NA,NA
"75","Greece","GRC",1990,9270.8227354722,51,NA,NA
"76","Greenland","GRL",1990,18326.9285151847,NA,NA,NA
"77","Grenada","GRD",1990,2298.0286958441,NA,NA,NA
"78","Guam","GUM",1990,NA,67,NA,NA
"79","Guatemala","GTM",1990,857.3364636766,63.5,NA,NA
"80","Guinea","GIN",1990,463.0045169694,84.5,NA,NA
"81","Guinea-Bissau","GNB",1990,239.9555647542,70,NA,NA
"82","Guyana","GUY",1990,547.0620843897,58.1,NA,NA
"83","Haiti","HTI",1990,NA,68.5,NA,NA
"84","Honduras","HND",1990,623.5840143617,64.3,NA,NA
"85","Hong Kong SAR, China","HKG",1990,13478.3126759261,63.7,NA,NA
"86","Hungary","HUN",1990,3186.4442873331,54.9,NA,NA
"87","Iceland","ISL",1990,25011.4013858234,79,NA,NA
"88","India","IND",1990,373.7033673752,60.2,NA,NA
"89","Indonesia","IDN",1990,620.7161311267,65.8,NA,NA
"90","Iran, Islamic Rep.","IRN",1990,2114.7037867102,51.9,NA,NA
"91","Iraq","IRQ",1990,NA,41.9,NA,NA
"92","Ireland","IRL",1990,13649.4597976138,52.7,NA,NA
"93","Isle of Man","IMN",1990,NA,NA,NA,NA
"94","Israel","ISR",1990,11264.0183794487,52.8,NA,NA
"95","Italy","ITA",1990,19982.8382741656,50,NA,NA
"96","Jamaica","JAM",1990,1921.4260299318,72.5,NA,NA
"97","Japan","JPN",1990,24754.0269483484,63.3,NA,NA
"98","Jordan","JOR",1990,1268.2232892774,44.4,NA,NA
