"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1980,237.971531829,59.6,NA,NA
"2","Albania","ALB",1980,NA,61.6,NA,NA
"3","Algeria","DZA",1980,2251.0673714947,44.7,NA,NA
"4","American Samoa","ASM",1980,NA,NA,NA,NA
"5","Andorra","AND",1980,11958.2483626365,NA,NA,NA
"6","Angola","AGO",1980,NA,81.9,NA,NA
"7","Antigua and Barbuda","ATG",1980,1567.2760825144,NA,NA,NA
"8","Argentina","ARG",1980,2735.8364191991,58.3,NA,NA
"9","Armenia","ARM",1980,NA,66.9,NA,NA
"10","Aruba","ABW",1980,NA,NA,NA,NA
"11","Australia","AUS",1980,10262.9517361883,61.5,NA,NA
"12","Austria","AUT",1980,10786.1067614568,54,NA,NA
"13","Azerbaijan","AZE",1980,NA,63.4,NA,NA
"14","Bahamas, The","BHS",1980,6340.455688509,67.7,NA,NA
"15","Bahrain","BHR",1980,8583.9873107822,59.9,NA,NA
"16","Bangladesh","BGD",1980,224.6793773804,73.2,NA,NA
"17","Barbados","BRB",1980,3458.4095134985,63.3,NA,NA
"18","Belarus","BLR",1980,NA,68.7,NA,NA
"19","Belgium","BEL",1980,12706.329742004,49.2,NA,NA
"20","Belize","BLZ",1980,1333.9041095891,57.6,NA,NA
"21","Benin","BEN",1980,389.166459445,72.3,NA,NA
"22","Bermuda","BMU",1980,11357.4068148148,NA,NA,NA
"23","Bhutan","BTN",1980,NA,59.7,NA,NA
"24","Bolivia","BOL",1980,847.7088340404,68.4,NA,NA
"25","Bosnia and Herzegovina","BIH",1980,NA,58.6,NA,NA
"26","Botswana","BWA",1980,1065.2330656063,73,NA,NA
"27","Brazil","BRA",1980,1930.9916984274,61.5,NA,NA
"28","Brunei Darussalam","BRN",1980,26037.11018472,59.6,NA,NA
"29","Bulgaria","BGR",1980,2261.2986242211,65.7,NA,NA
"30","Burkina Faso","BFA",1980,267.4028992525,84.4,NA,NA
"31","Burundi","BDI",1980,222.6942699151,89.7,NA,NA
"32","Cambodia","KHM",1980,NA,80.7,NA,NA
"33","Cameroon","CMR",1980,739.9516465359,65.9,NA,NA
"34","Canada","CAN",1980,10933.7315638172,63.9,NA,NA
