"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1997,NA,58.9,0,105
"2","Albania","ALB",1997,710.314788053,61.4,36.1948630252,28.5
"3","Algeria","DZA",1997,1647.5053391865,53.8,66.9556687027,44.7
"4","American Samoa","ASM",1997,NA,NA,NA,NA
"5","Andorra","AND",1997,18190.371111821,NA,1428.9713384771,4.5
"6","Angola","AGO",1997,600.0055025134,82.5,13.0804169232,125.9
"7","Antigua and Barbuda","ATG",1997,8017.6409634613,NA,394.5473251029,15.1
"8","Argentina","ARG",1997,8199.9011727561,59.1,671.2730757216,18.9
"9","Armenia","ARM",1997,522.991449754,63.8,30.618866612,34
"10","Aruba","ABW",1997,17987.619679578,NA,NA,NA
"11","Australia","AUS",1997,23636.3410599168,63.1,1766.0494493846,5.4
"12","Austria","AUT",1997,25953.4799576417,58.1,2539.7878816749,5
"13","Azerbaijan","AZE",1997,505.5766985343,62.3,27.3846344164,61.9
"14","Bahamas, The","BHS",1997,14639.6693970774,72.7,934.518430971,13.9
"15","Bahrain","BHR",1997,10707.1711648868,65.3,492.2087028242,11.4
"16","Bangladesh","BGD",1997,345.8254406314,72.1,8.5169381777,72.9
"17","Barbados","BRB",1997,8270.3220551601,70.6,513.3417943656,14.7
"18","Belarus","BLR",1997,1396.5021663728,60.6,93.3145560784,12.8
"19","Belgium","BEL",1997,24500.3860437316,50.4,2095.3322809614,5.6
"20","Belize","BLZ",1997,2844.3396569817,60.1,100.5459293685,26
"21","Benin","BEN",1997,360.1736025365,72.9,16.0717773924,93.9
"22","Bermuda","BMU",1997,47401.4918115607,NA,NA,NA
"23","Bhutan","BTN",1997,649.0914506124,53.1,36.0200014429,73.1
"24","Bolivia","BOL",1997,1015.5555637337,70.7,44.8634699071,66.8
"25","Bosnia and Herzegovina","BIH",1997,1090.9790474491,63.2,88.8602421533,10
"26","Botswana","BWA",1997,3119.2785241897,74.3,140.5749144072,61.3
"27","Brazil","BRA",1997,5220.8565424603,67.6,355.9426685969,36.9
"28","Brunei Darussalam","BRN",1997,17055.7582029034,66.8,622.1212604002,7.7
"29","Bulgaria","BGR",1997,1209.5027234329,54.2,61.2800805152,18
"30","Burkina Faso","BFA",1997,216.5768393379,83.9,11.5206600382,99.8
"31","Burundi","BDI",1997,157.3885577344,90.7,8.7311126322,103.3
"32","Cambodia","KHM",1997,293.5264207825,80,19.1357681531,86.5
"33","Cameroon","CMR",1997,672.5404753421,66,27.3936087733,91.6
"34","Canada","CAN",1997,21260.2868099547,64.4,1879.6675491124,5.5
"35","Cape Verde","CPV",1997,1226.5498356631,62.1,53.9679674016,39.2
"36","Cayman Islands","CYM",1997,NA,NA,NA,NA
"37","Central African Republic","CAF",1997,287.9613014248,78.5,10.7770788002,116
"38","Chad","TCD",1997,207.3800480044,72.2,11.2716778732,107.2
"39","Channel Islands","CHI",1997,NA,NA,NA,NA
"40","Chile","CHL",1997,5580.1060746341,55.6,330.4283126538,10.3
"41","China","CHN",1997,774.4671610098,78.4,31.2295173835,31.3
"42","Colombia","COL",1997,2823.5434941676,55.2,270.2692495551,24.9
"43","Comoros","COM",1997,407.7628026921,76.6,15.8857024826,78.5
"44","Congo, Dem. Rep.","COD",1997,131.3549251217,70,4.9935683152,117.3
"45","Congo, Rep.","COG",1997,803.4743535048,71.9,23.45194287,68.6
"46","Costa Rica","CRI",1997,3516.4614200851,60.6,215.73091382,12.2
"47","Cote d'Ivoire","CIV",1997,756.6553579889,66.3,45.3194472033,103.7
"48","Croatia","HRV",1997,5140.3491294152,54.6,304.2248038453,8.1
"49","Cuba","CUB",1997,2307.4809707531,54.9,138.5280570183,7.6
"50","Curacao","CUW",1997,NA,NA,NA,NA
"51","Cyprus","CYP",1997,13272.1922932061,59.8,711.71233018,6.9
"52","Czech Republic","CZE",1997,5544.8662361996,60.6,369.5606587509,6.8
"53","Denmark","DNK",1997,32253.6648116003,65.8,2625.473601099,4.9
"54","Djibouti","DJI",1997,755.0458677466,68.1,34.1417695809,86.4
"55","Dominica","DMA",1997,3469.2357668863,NA,219.9888221896,13.5
"56","Dominican Republic","DOM",1997,2392.1815324426,64.7,129.3002851109,36.7
"57","Ecuador","ECU",1997,2008.4360721059,57.8,88.2991808737,30.4
"58","Egypt, Arab Rep.","EGY",1997,1221.7613568464,49.3,56.683996564,45.1
"59","El Salvador","SLV",1997,1906.922424574,60.2,155.3241653189,33.9
"60","Equatorial Guinea","GNQ",1997,1053.4533976184,62.5,39.9381743314,103.4
"61","Eritrea","ERI",1997,205.8357301135,66.4,9.1231875097,67.5
"62","Estonia","EST",1997,3608.3588049441,61.5,224.3744732561,13
"63","Ethiopia","ETH",1997,147.0001828617,81,5.6574009222,93.8
"64","Faeroe Islands","FRO",1997,NA,NA,NA,NA
"65","Fiji","FJI",1997,2640.0491665864,59.3,99.9866637157,20.7
"66","Finland","FIN",1997,23913.0583388084,60.1,1837.6483366576,3.9
"67","France","FRA",1997,23727.4664489616,54.9,2430.5404062077,4.9
"68","French Polynesia","PYF",1997,15877.1092856225,60.4,NA,NA
"69","Gabon","GAB",1997,4638.398788544,72.9,117.3393287944,64.5
"70","Gambia, The","GMB",1997,343.8983795784,78.4,18.1241021135,69.4
"71","Georgia","GEO",1997,774.680210871,65.5,55.648608475,32.8
"72","Germany","DEU",1997,26325.8766419484,58.3,2679.8868920981,4.9
"73","Ghana","GHA",1997,385.5462452746,73.4,26.9369173188,68.4
"74","Gibraltar","GIB",1997,NA,NA,NA,NA
"75","Greece","GRC",1997,12608.9878698901,51.6,1062.6035888153,8
"76","Greenland","GRL",1997,19145.6144069473,NA,NA,NA
"77","Grenada","GRD",1997,3018.0499332648,NA,174.6891560605,13.9
"78","Guam","GUM",1997,NA,66.3,NA,NA
"79","Guatemala","GTM",1997,1697.1456124328,63.1,64.0959535646,42.1
"80","Guinea","GIN",1997,474.0309541824,84.4,24.46694072,114.3
"81","Guinea-Bissau","GNB",1997,229.4091605848,70.6,15.3547634805,111.7
"82","Guyana","GUY",1997,1026.5778557304,60.6,46.8930497815,41.4
"83","Haiti","HTI",1997,396.0652905698,67.8,24.5984107917,85
"84","Honduras","HND",1997,799.0932076731,66.8,44.0618192124,34.5
"85","Hong Kong SAR, China","HKG",1997,27169.6843921698,61,NA,NA
"86","Hungary","HUN",1997,4443.2865299676,47.4,309.1425719078,10.9
"87","Iceland","ISL",1997,27290.4217115431,77.1,2206.732232788,3.5
"88","India","IND",1997,425.629968367,59.2,19.231198368,67.9
"89","Indonesia","IDN",1997,1052.1077047556,66.2,21.2416705688,42.7
"90","Iran, Islamic Rep.","IRN",1997,1699.58002214,51.1,106.1431525526,38.4
"91","Iraq","IRQ",1997,455.4440913054,41.6,3.4399747122,35.3
"92","Ireland","IRL",1997,22094.835814664,54.9,1381.0957699573,6.1
"93","Isle of Man","IMN",1997,15994.6868486244,NA,NA,NA
"94","Israel","ISR",1997,18572.6296323258,54.5,1431.7219499703,6.3
"95","Italy","ITA",1997,20956.977194744,47,1603.2078208699,5.6
"96","Jamaica","JAM",1997,2948.8278401899,69.9,177.9796079272,26.9
"97","Japan","JPN",1997,33799.731989592,63.7,2358.7125916862,3.7
"98","Jordan","JOR",1997,1625.4431042867,49.7,147.0241675404,26.7
"99","Kazakhstan","KAZ",1997,1445.5694104087,69.7,66.8773157187,40.8
"100","Kenya","KEN",1997,453.1293525812,81.7,19.3085172211,72.7
"101","Kiribati","KIR",1997,867.5120715418,NA,81.7574127495,53.6
"102","Korea, Dem. Rep.","PRK",1997,NA,66.4,NA,49.9
"103","Korea, Rep.","KOR",1997,11234.7769967835,62.5,480.3127782588,5.1
"104","Kosovo","KSV",1997,NA,NA,NA,NA
"105","Kuwait","KWT",1997,18078.5180591793,70.1,609.5736164479,11.1
"106","Kyrgyz Republic","KGZ",1997,374.1511186708,65.5,20.7117419403,48
"107","Lao PDR","LAO",1997,348.2478655585,80.9,14.7144224162,73.2
"108","Latvia","LVA",1997,2503.3608896954,59,160.732258037,16.9
"109","Lebanon","LBN",1997,4378.7419876978,44.4,497.6184192355,26.3
"110","Lesotho","LSO",1997,449.0917952668,73.6,33.511698036,84.2
"111","Liberia","LBR",1997,125.354213558,71.3,0,130.7
"112","Libya","LBY",1997,6200.8536881418,49.3,197.1680034075,24.6
"113","Liechtenstein","LIE",1997,72481.5699900607,NA,NA,6.4
"114","Lithuania","LTU",1997,2829.2458100559,61.4,163.1688413623,11.2
"115","Luxembourg","LUX",1997,44145.4332689569,50.9,2446.592274998,4.7
"116","Macao SAR, China","MAC",1997,15845.7504788462,66.7,NA,NA
"117","Macedonia, FYR","MKD",1997,1883.6729716445,54,177.9131951947,17.8
"118","Madagascar","MDG",1997,253.5954555206,86.6,8.57004439,74.2
"119","Malawi","MWI",1997,258.0982614427,77.2,12.6798471555,112.5
"120","Malaysia","MYS",1997,4598.8041417714,61.9,132.9778125105,10.7
