"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1996,NA,58.9,0,105.6
"2","Albania","ALB",1996,968.0719516769,61.9,43.1386619725,29.8
"3","Algeria","DZA",1996,1630.65733677,53.2,61.8279322745,46.3
"4","American Samoa","ASM",1996,NA,NA,NA,NA
"5","Andorra","AND",1996,18765.5950709271,NA,1483.2842444892,4.8
"6","Angola","AGO",1996,604.4015751988,82.6,10.9612643578,128.4
"7","Antigua and Barbuda","ATG",1996,7680.2566685045,NA,397.3544973545,15.9
"8","Argentina","ARG",1996,7712.4404581355,58.6,620.2677991377,19.6
"9","Armenia","ARM",1996,503.4286818682,63.8,29.770208839,35.7
"10","Aruba","ABW",1996,16611.3516358162,NA,NA,NA
"11","Australia","AUS",1996,22044.7190089226,63.5,1767.7215881164,5.6
"12","Austria","AUT",1996,29396.6107248811,58.5,2784.5970440076,5.3
"13","Azerbaijan","AZE",1996,409.2167452168,61.7,25.0424423139,64.1
"14","Bahamas, The","BHS",1996,12722.2157594729,72.8,871.0296178021,13.9
"15","Bahrain","BHR",1996,10613.5207278691,65.4,471.038160597,11.8
"16","Bangladesh","BGD",1996,339.084987535,72.7,10.5568795435,76.6
"17","Barbados","BRB",1996,7504.2348968946,70.5,478.6515191052,14.4
"18","Belarus","BLR",1996,1452.4470018171,61.5,90.3625883005,13.2
"19","Belgium","BEL",1996,27117.576524141,50.3,2365.0651178496,5.9
"20","Belize","BLZ",1996,2888.6096097438,59.8,93.2840432576,27.1
"21","Benin","BEN",1996,379.2636171823,73,18.3299426307,95.6
"22","Bermuda","BMU",1996,43624.635654508,NA,NA,NA
"23","Bhutan","BTN",1996,578.1949370598,53.2,27.2751449546,76.2
"24","Bolivia","BOL",1996,968.4888853909,70.6,44.7625050781,69.2
"25","Bosnia and Herzegovina","BIH",1996,842.8075719282,63,93.9692338916,10.7
"26","Botswana","BWA",1996,2956.2816494324,74.1,127.7736909286,58.7
"27","Brazil","BRA",1996,5109.3486111996,66.9,350.3284078449,39.1
"28","Brunei Darussalam","BRN",1996,17213.3559796473,66.5,626.1155395133,7.9
"29","Bulgaria","BGR",1996,1063.9437906802,54.8,55.1143038164,18.2
"30","Burkina Faso","BFA",1996,235.3096255722,83.9,12.5219824625,100.3
"31","Burundi","BDI",1996,141.530511636,90.8,8.4673522369,104.7
"32","Cambodia","KHM",1996,306.0248868346,80.3,22.5407494626,87
"33","Cameroon","CMR",1996,681.1797115544,66,33.0269752871,91.6
"34","Canada","CAN",1996,20684.9457847644,64.2,1835.1437363301,5.6
"35","Cape Verde","CPV",1996,1242.5003096805,61.9,57.2193822338,40.2
"36","Cayman Islands","CYM",1996,29693.924243915,NA,NA,NA
"37","Central African Republic","CAF",1996,314.1323786001,78.5,11.3059092523,116.1
"38","Chad","TCD",1996,222.6534085248,72.3,11.9959058286,108.3
"39","Channel Islands","CHI",1996,NA,NA,NA,NA
"40","Chile","CHL",1996,5178.7440683572,55.4,300.4918979422,10.8
"41","China","CHN",1996,703.1207994023,78.6,26.6575491108,32.8
"42","Colombia","COL",1996,2617.980324627,55,229.9894573553,25.7
"43","Comoros","COM",1996,454.5664008474,76.6,17.7956245294,79.9
"44","Congo, Dem. Rep.","COD",1996,127.4191392976,69.8,3.9651145825,117.3
"45","Congo, Rep.","COG",1996,904.125618467,71.9,25.4314787344,69.6
"46","Costa Rica","CRI",1996,3329.4664190926,58,220.8468731207,12.6
"47","Cote d'Ivoire","CIV",1996,804.4640612559,66.5,43.6351517354,104.6
"48","Croatia","HRV",1996,5193.904281316,55,365.9127542702,8.4
"49","Cuba","CUB",1996,2284.8232100118,55.1,131.8652584642,7.9
"50","Curacao","CUW",1996,NA,NA,NA,NA
"51","Cyprus","CYP",1996,14138.647150589,59.9,749.3156507254,7.5
"52","Czech Republic","CZE",1996,6011.6914536025,61.1,403.6563451438,7.5
"53","Denmark","DNK",1996,35050.5172600024,65.4,2870.370504134,5.1
"54","Djibouti","DJI",1996,766.5713898945,67.8,30.8015839123,87.6
"55","Dominica","DMA",1996,3321.5953060897,NA,206.2481485259,13.8
"56","Dominican Republic","DOM",1996,2251.0658284172,64.7,109.5922753119,38.2
"57","Ecuador","ECU",1996,1836.8495130712,57.5,80.6890140574,31.7
"58","Egypt, Arab Rep.","EGY",1996,1071.4382795227,49.5,44.2490924579,48.1
"59","El Salvador","SLV",1996,1781.1820136058,60.3,135.0614705062,35.9
"60","Equatorial Guinea","GNQ",1996,566.5037105739,62.6,27.9955882168,105.6
"61","Eritrea","ERI",1996,212.5444540235,66.3,7.7775133574,70.1
"62","Estonia","EST",1996,3339.4680268065,61.6,221.0285088546,13.9
"63","Ethiopia","ETH",1996,144.3296137072,81,5.2847739796,96
"64","Faeroe Islands","FRO",1996,NA,NA,NA,NA
"65","Fiji","FJI",1996,2713.4337374631,59.3,95.8088242063,21.2
"66","Finland","FIN",1996,25019.0992720178,59.3,2018.3028566054,4.1
"67","France","FRA",1996,26357.4602004304,55.2,2731.773765099,5.1
"68","French Polynesia","PYF",1996,17961.8519782212,60.8,NA,NA
"69","Gabon","GAB",1996,5092.1039792161,72.9,150.5709336585,64.8
"70","Gambia, The","GMB",1996,338.2797518025,78.4,19.2969464825,70.5
"71","Georgia","GEO",1996,670.4611048494,64.7,46.0168531376,34.1
"72","Germany","DEU",1996,29769.7227578777,58.1,3083.3247618826,5.1
"73","Ghana","GHA",1996,397.3519493604,73,26.3928064137,69.5
"74","Gibraltar","GIB",1996,NA,NA,NA,NA
"75","Greece","GRC",1996,13007.1415835814,51.7,1103.3333501601,8.4
"76","Greenland","GRL",1996,21422.4622168251,NA,NA,NA
"77","Grenada","GRD",1996,2925.8328283845,NA,160.7906336696,14.3
"78","Guam","GUM",1996,NA,66.4,NA,NA
"79","Guatemala","GTM",1996,1540.2029282995,63.1,55.8096725787,43.8
"80","Guinea","GIN",1996,495.6653372061,84.5,26.0487413271,117.3
"81","Guinea-Bissau","GNB",1996,235.5755974816,70.6,16.6708171896,113.4
"82","Guyana","GUY",1996,967.6484344931,60.2,42.1015969321,43
"83","Haiti","HTI",1996,369.8831027545,67.6,23.889142763,87.7
"84","Honduras","HND",1996,706.906674312,66.4,38.5440776985,35.9
"85","Hong Kong SAR, China","HKG",1996,24701.3859286371,61.2,NA,NA
"86","Hungary","HUN",1996,4379.9483083697,48.3,315.6150221456,11.4
"87","Iceland","ISL",1996,27151.7231077694,77.8,2217.8548262651,3.8
"88","India","IND",1996,409.3178257518,59.5,16.5285932659,69.8
"89","Indonesia","IDN",1996,1124.161969707,66.3,23.5581748107,44.1
"90","Iran, Islamic Rep.","IRN",1996,1818.1730142946,51,82.8708665622,39.1
"91","Iraq","IRQ",1996,NA,41.6,3.3245654668,35.5
"92","Ireland","IRL",1996,20359.3219527426,54.5,1319.5196138192,6.1
"93","Isle of Man","IMN",1996,14032.5741842827,NA,NA,NA
"94","Israel","ISR",1996,18511.9781282549,54.6,1381.2402985363,6.7
"95","Italy","ITA",1996,22151.617231277,47,1627.609317642,5.9
"96","Jamaica","JAM",1996,2600.5983459534,71.1,122.9233435763,27.4
"97","Japan","JPN",1996,36915.6128356495,63.5,2594.4913487689,3.9
"98","Jordan","JOR",1996,1601.9465325675,49.6,133.9920806317,27.5
"99","Kazakhstan","KAZ",1996,1350.3338439628,69.5,58.1288069597,41.8
"100","Kenya","KEN",1996,427.2846618696,81.8,18.888363673,72.6
"101","Kiribati","KIR",1996,865.3045353292,NA,80.176727435,55
"102","Korea, Dem. Rep.","PRK",1996,NA,66.8,NA,48.1
"103","Korea, Rep.","KOR",1996,12249.1731451653,62,524.1278938895,5.1
"104","Kosovo","KSV",1996,NA,NA,NA,NA
"105","Kuwait","KWT",1996,19343.1302366411,69.7,622.5252381499,11.2
"106","Kyrgyz Republic","KGZ",1996,392.4351698879,65.6,24.7780138596,49.5
"107","Lao PDR","LAO",1996,381.761772829,81.1,12.0531229414,76.9
"108","Latvia","LVA",1996,2242.188993404,59.2,141.326459467,17.7
"109","Lebanon","LBN",1996,3868.2359910228,44.5,411.1458881622,27.1
"110","Lesotho","LSO",1996,435.2021091691,73.6,36.4892859532,80.8
"111","Liberia","LBR",1996,72.3293171051,71.3,0,135.9
"112","Libya","LBY",1996,5734.4306845352,49,185.1132239947,25.6
"113","Liechtenstein","LIE",1996,79928.9135578427,NA,NA,6.8
"114","Lithuania","LTU",1996,2337.4757281553,62.2,131.1310744972,12.1
"115","Luxembourg","LUX",1996,49687.7041482632,50.7,2782.1524762871,5
"116","Macao SAR, China","MAC",1996,15805.1209226098,67.7,NA,NA
"117","Macedonia, FYR","MKD",1996,2241.0165439723,54.6,202.2521476003,19.7
"118","Madagascar","MDG",1996,294.8852770852,86.5,9.3135394842,77.4
