"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1987,NA,59.3,NA,NA
"2","Albania","ALB",1987,692.1112538507,62.4,NA,NA
"3","Algeria","DZA",1987,2852.4202261814,46.4,NA,NA
"4","American Samoa","ASM",1987,NA,NA,NA,NA
"5","Andorra","AND",1987,12348.5011000953,NA,NA,NA
"6","Angola","AGO",1987,772.0672545638,81.9,NA,NA
"7","Antigua and Barbuda","ATG",1987,4510.6923164031,NA,NA,NA
"8","Argentina","ARG",1987,3553.1469632471,58.9,NA,NA
"9","Armenia","ARM",1987,NA,69.1,NA,NA
"10","Aruba","ABW",1987,NA,NA,NA,NA
"11","Australia","AUS",1987,11708.9646632387,62.1,NA,NA
"12","Austria","AUT",1987,16252.9340740979,55.2,NA,NA
"13","Azerbaijan","AZE",1987,NA,65.8,NA,NA
"14","Bahamas, The","BHS",1987,11157.8872864214,70.6,NA,NA
"15","Bahrain","BHR",1987,7603.0080613999,64.3,NA,NA
"16","Bangladesh","BGD",1987,244.0888662156,74.4,NA,NA
"17","Barbados","BRB",1987,5645.5718489926,67.5,NA,NA
"18","Belarus","BLR",1987,NA,68.6,NA,NA
"19","Belgium","BEL",1987,14932.1241509696,48.9,NA,NA
"20","Belize","BLZ",1987,1578.481826484,59.3,NA,NA
"21","Benin","BEN",1987,357.4070759431,72.2,NA,NA
"22","Bermuda","BMU",1987,22430.7952941176,NA,NA,NA
"23","Bhutan","BTN",1987,436.1534636906,57.2,NA,NA
"24","Bolivia","BOL",1987,694.7228430964,69.9,NA,NA
"25","Bosnia and Herzegovina","BIH",1987,NA,60.9,NA,NA
"26","Botswana","BWA",1987,1558.1218477147,72.5,NA,NA
"27","Brazil","BRA",1987,2074.0627989241,64.5,NA,NA
"28","Brunei Darussalam","BRN",1987,11888.0597229036,63.1,NA,NA
"29","Bulgaria","BGR",1987,3168.9919357897,62.2,NA,NA
"30","Burkina Faso","BFA",1987,275.340702369,84,NA,NA
"31","Burundi","BDI",1987,219.0046912738,90.2,NA,NA
"32","Cambodia","KHM",1987,NA,80.5,NA,NA
"33","Cameroon","CMR",1987,1102.5104698432,64.4,NA,NA
"34","Canada","CAN",1987,15876.8424072512,66.1,NA,NA
"35","Cape Verde","CPV",1987,773.1929366253,61,NA,NA
"36","Cayman Islands","CYM",1987,NA,NA,NA,NA
"37","Central African Republic","CAF",1987,440.6901795116,78.1,NA,NA
"38","Chad","TCD",1987,212.6851960363,72.9,NA,NA
"39","Channel Islands","CHI",1987,NA,NA,NA,NA
"40","Chile","CHL",1987,1669.6392208925,52.8,NA,NA
"41","China","CHN",1987,249.412791097,79,NA,NA
"42","Colombia","COL",1987,1163.1702544443,51.8,NA,NA
"43","Comoros","COM",1987,482.8760970692,75.1,NA,NA
"44","Congo, Dem. Rep.","COD",1987,232.682850603,68.4,NA,NA
"45","Congo, Rep.","COG",1987,1043.9183710166,71.3,NA,NA
"46","Costa Rica","CRI",1987,2056.2590952101,58.4,NA,NA
"47","Cote d'Ivoire","CIV",1987,893.1142743563,67.1,NA,NA
"48","Croatia","HRV",1987,NA,57.4,NA,NA
"49","Cuba","CUB",1987,2458.2299102523,53.8,NA,NA
"50","Curacao","CUW",1987,NA,NA,NA,NA
"51","Cyprus","CYP",1987,6688.134025455,59,NA,NA
"52","Czech Republic","CZE",1987,NA,61.2,NA,NA
"53","Denmark","DNK",1987,20941.3582175584,67.2,NA,NA
"54","Djibouti","DJI",1987,804.330341138,65.4,NA,NA
"55","Dominica","DMA",1987,1745.9841901024,NA,NA,NA
"56","Dominican Republic","DOM",1987,861.3845083906,64.1,NA,NA
"57","Ecuador","ECU",1987,952.017857983,55.8,NA,NA
"58","Egypt, Arab Rep.","EGY",1987,761.907219763,50.7,NA,NA
"59","El Salvador","SLV",1987,772.4161653864,61.1,NA,NA
"60","Equatorial Guinea","GNQ",1987,351.2513831908,66,NA,NA
"61","Eritrea","ERI",1987,NA,68.7,NA,NA
"62","Estonia","EST",1987,2571.192586417,71,NA,NA
"63","Ethiopia","ETH",1987,238.5067869174,81.1,NA,NA
"64","Faeroe Islands","FRO",1987,NA,NA,NA,NA
"65","Fiji","FJI",1987,1632.2724471955,55.1,NA,NA
"66","Finland","FIN",1987,18242.0081739705,64.4,NA,NA
"67","France","FRA",1987,16028.288780956,56.3,NA,NA
"68","French Polynesia","PYF",1987,13913.3813400731,61.7,NA,NA
"69","Gabon","GAB",1987,3884.7734618935,73.8,NA,NA
"70","Gambia, The","GMB",1987,260.9129670223,78.4,NA,NA
"71","Georgia","GEO",1987,NA,68.2,NA,NA
"72","Germany","DEU",1987,16139.0350256714,56.1,NA,NA
"73","Ghana","GHA",1987,372.0902370071,71.3,NA,NA
"74","Gibraltar","GIB",1987,NA,NA,NA,NA
"75","Greece","GRC",1987,6317.148154334,50.8,NA,NA
"76","Greenland","GRL",1987,14554.3520762171,NA,NA,NA
"77","Grenada","GRD",1987,1684.152701783,NA,NA,NA
"78","Guam","GUM",1987,NA,66.7,NA,NA
"79","Guatemala","GTM",1987,850.1493342473,63.6,NA,NA
"80","Guinea","GIN",1987,394.8724704705,84.6,NA,NA
"81","Guinea-Bissau","GNB",1987,181.5168071742,70.8,NA,NA
"82","Guyana","GUY",1987,480.0935789241,57.5,NA,NA
"83","Haiti","HTI",1987,NA,68.3,NA,NA
"84","Honduras","HND",1987,925.8328132096,64,NA,NA
"85","Hong Kong SAR, China","HKG",1987,9027.2631416663,65.2,NA,NA
"86","Hungary","HUN",1987,2489.7625322693,56.5,NA,NA
"87","Iceland","ISL",1987,22107.8759432145,77.9,NA,NA
"88","India","IND",1987,345.5749419018,60.2,NA,NA
"89","Indonesia","IDN",1987,434.461042727,66.4,NA,NA
"90","Iran, Islamic Rep.","IRN",1987,2554.3481701666,51.8,NA,NA
"91","Iraq","IRQ",1987,2625.5038269227,42.2,NA,NA
"92","Ireland","IRL",1987,9281.2690877558,53.3,NA,NA
