"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1984,NA,59.4,NA,NA
"2","Albania","ALB",1984,665.5966080543,62,NA,NA
"3","Algeria","DZA",1984,2505.3937827191,44.8,NA,NA
"4","American Samoa","ASM",1984,NA,NA,NA,NA
"5","Andorra","AND",1984,7222.2884105136,NA,NA,NA
"6","Angola","AGO",1984,NA,82,NA,NA
"7","Antigua and Barbuda","ATG",1984,2601.3269373292,NA,NA,NA
"8","Argentina","ARG",1984,2645.2401948081,58.9,NA,NA
"9","Armenia","ARM",1984,NA,68.5,NA,NA
"10","Aruba","ABW",1984,NA,NA,NA,NA
"11","Australia","AUS",1984,12517.9996314078,60.6,NA,NA
"12","Austria","AUT",1984,8925.2439988507,54.8,NA,NA
"13","Azerbaijan","AZE",1984,NA,65,NA,NA
"14","Bahamas, The","BHS",1984,8878.2466735393,69.4,NA,NA
"15","Bahrain","BHR",1984,9647.493521975,63.2,NA,NA
"16","Bangladesh","BGD",1984,218.974772998,73.8,NA,NA
"17","Barbados","BRB",1984,4521.0588440924,65.4,NA,NA
"18","Belarus","BLR",1984,NA,69,NA,NA
"19","Belgium","BEL",1984,8345.2449272953,49.8,NA,NA
"20","Belize","BLZ",1984,1301.9932515338,58.9,NA,NA
"21","Benin","BEN",1984,260.975421912,72.2,NA,NA
"22","Bermuda","BMU",1984,17728.4166906475,NA,NA,NA
"23","Bhutan","BTN",1984,338.2630799057,58,NA,NA
"24","Bolivia","BOL",1984,1058.0820162023,69.4,NA,NA
"25","Bosnia and Herzegovina","BIH",1984,NA,60.2,NA,NA
"26","Botswana","BWA",1984,1084.527444372,72.5,NA,NA
"27","Brazil","BRA",1984,1567.1294042574,63.1,NA,NA
"28","Brunei Darussalam","BRN",1984,17758.1576157163,61,NA,NA
"29","Bulgaria","BGR",1984,1950.8302888356,65,NA,NA
"30","Burkina Faso","BFA",1984,183.3313288839,84.1,NA,NA
"31","Burundi","BDI",1984,210.2513876095,90,NA,NA
"32","Cambodia","KHM",1984,NA,80.9,NA,NA
"33","Cameroon","CMR",1984,763.5394582351,64.7,NA,NA
"34","Canada","CAN",1984,13506.3715403926,64.6,NA,NA
"35","Cape Verde","CPV",1984,NA,60.5,NA,NA
"36","Cayman Islands","CYM",1984,NA,NA,NA,NA
"37","Central African Republic","CAF",1984,249.3631741374,78.2,NA,NA
"38","Chad","TCD",1984,183.4090708602,73.3,NA,NA
"39","Channel Islands","CHI",1984,NA,NA,NA,NA
"40","Chile","CHL",1984,1615.0849684534,50.7,NA,NA
"41","China","CHN",1984,248.2889081968,79,NA,NA
"42","Colombia","COL",1984,1302.9198431776,50.7,NA,NA
"43","Comoros","COM",1984,286.7513865114,74.9,NA,NA
"44","Congo, Dem. Rep.","COD",1984,260.4693247803,68.6,NA,NA
"45","Congo, Rep.","COG",1984,1084.6773909863,70.7,NA,NA
"46","Costa Rica","CRI",1984,1754.0309385252,53.7,NA,NA
"47","Cote d'Ivoire","CIV",1984,678.0578115678,67,NA,NA
"48","Croatia","HRV",1984,NA,57.8,NA,NA
"49","Cuba","CUB",1984,2403.526655028,53,NA,NA
"50","Curacao","CUW",1984,NA,NA,NA,NA
"51","Cyprus","CYP",1984,4260.0177294718,57.8,NA,NA
"52","Czech Republic","CZE",1984,NA,61.7,NA,NA
"53","Denmark","DNK",1984,11290.0229762839,66.1,NA,NA
"54","Djibouti","DJI",1984,NA,64.5,NA,NA
"55","Dominica","DMA",1984,1210.6956632536,NA,NA,NA
"56","Dominican Republic","DOM",1984,1628.899588297,63.8,NA,NA
"57","Ecuador","ECU",1984,1285.2802511197,56.4,NA,NA
"58","Egypt, Arab Rep.","EGY",1984,619.6356181676,50.7,NA,NA
"59","El Salvador","SLV",1984,742.6004571515,61.5,NA,NA
"60","Equatorial Guinea","GNQ",1984,NA,65.4,NA,NA
"61","Eritrea","ERI",1984,NA,68.6,NA,NA
"62","Estonia","EST",1984,NA,71.3,NA,NA
"63","Ethiopia","ETH",1984,202.0402880819,81.2,NA,NA
"64","Faeroe Islands","FRO",1984,NA,NA,NA,NA
"65","Fiji","FJI",1984,1681.8107253986,54.5,NA,NA
"66","Finland","FIN",1984,10668.2730241374,65,NA,NA
"67","France","FRA",1984,9265.3015486876,56.8,NA,NA
