"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",2007,307.9892024921,59.6,41.6541990854,103.7
"2","Albania","ALB",2007,3377.2215171931,59.7,234.9928769904,18.7
"3","Algeria","DZA",2007,4005.2242424425,58,173.0334394548,33.8
"4","American Samoa","ASM",2007,NA,NA,NA,NA
"5","Andorra","AND",2007,39874.819802429,NA,2947.5876453119,3.2
"6","Angola","AGO",2007,3449.3768033157,81.4,85.7585728232,103.6
"7","Antigua and Barbuda","ATG",2007,13444.6575465428,NA,627.0456503015,8.2
"8","Argentina","ARG",2007,6623.8636982938,64.3,560.7291761946,13.7
"9","Armenia","ARM",2007,2994.7089904441,65.4,116.3296063727,20.4
"10","Aruba","ABW",2007,NA,NA,NA,NA
"11","Australia","AUS",2007,40660.403928373,65.2,3975.5293738927,4.4
"12","Austria","AUT",2007,44850.1166138431,60.6,4598.3469458912,3.8
"13","Azerbaijan","AZE",2007,3851.3256636755,63.4,191.5429427596,43.8
"14","Bahamas, The","BHS",2007,21997.013935979,73.4,1433.3100635774,13.9
"15","Bahrain","BHR",2007,19955.1033492036,64.1,883.93967142,9.2
"16","Bangladesh","BGD",2007,475.2496512598,70.7,15.0364533638,44.4
"17","Barbados","BRB",2007,12551.4509347687,71.6,932.3728230594,16.6
"18","Belarus","BLR",2007,4666.6369816352,59.6,289.5184812466,5.6
"19","Belgium","BEL",2007,43161.3660153069,53.7,4635.9176314588,3.8
"20","Belize","BLZ",2007,4098.7212068852,63.6,192.8598563814,16.4
"21","Benin","BEN",2007,683.6521297287,72.7,29.9663335885,77.5
"22","Bermuda","BMU",2007,91574.140625,NA,NA,NA
"23","Bhutan","BTN",2007,1737.0176380609,61,92.0513509533,49.3
"24","Bolivia","BOL",2007,1386.4343638678,71.8,64.9244784697,46.6
"25","Bosnia and Herzegovina","BIH",2007,4029.2656748804,61.2,393.8457717252,7.6
"26","Botswana","BWA",2007,6420.844967964,76,501.2392430393,39.4
"27","Brazil","BRA",2007,7197.0313056522,70.3,606.5779084885,20.8
"28","Brunei Darussalam","BRN",2007,32442.9301630197,67.5,732.3166342707,6.2
"29","Bulgaria","BGR",2007,5498.03568628,54.1,363.9417802762,12.1
"30","Burkina Faso","BFA",2007,449.3014580387,84.3,30.4925343293,94.4
"31","Burundi","BDI",2007,127.116351891,89.4,17.3491858273,91.4
"32","Cambodia","KHM",2007,631.9864880106,78.7,35.8118165835,51.5
"33","Cameroon","CMR",2007,1127.2968434078,66.8,53.8629506831,86.4
"34","Canada","CAN",2007,43184.9141632675,67.1,4163.2709769473,5.2
"35","Cape Verde","CPV",2007,2756.0075060425,65.4,134.8978767753,31.1
"36","Cayman Islands","CYM",2007,NA,NA,NA,NA
"37","Central African Republic","CAF",2007,407.682026954,78.7,16.4733965863,108.5
"38","Chad","TCD",2007,676.4757469216,70.7,40.4000718047,100.9
"39","Channel Islands","CHI",2007,76413.0483468397,NA,NA,NA
"40","Chile","CHL",2007,9878.7177567196,57.3,681.418062211,7.8
"41","China","CHN",2007,2651.2600613269,74,111.6175809796,18.9
"42","Colombia","COL",2007,4676.4330169594,58.2,283.9473543959,18.2
"43","Comoros","COM",2007,685.1574678342,79,22.9244703258,66.8
"44","Congo, Dem. Rep.","COD",2007,164.1718332861,70.5,9.6423125897,115
"45","Congo, Rep.","COG",2007,2236.4972933076,72.5,61.3327725302,62.6
"46","Costa Rica","CRI",2007,5899.2746094591,63.2,524.2516097022,9
"47","Cote d'Ivoire","CIV",2007,1061.6162075885,66.7,52.8467838013,90.1
"48","Croatia","HRV",2007,13372.2875745759,53.2,1008.5563161332,5.3
"49","Cuba","CUB",2007,5200.5881430552,54.2,590.1184097287,5
"50","Curacao","CUW",2007,NA,NA,NA,NA
"51","Cyprus","CYP",2007,27852.7891693372,62.1,1662.8842811496,3.6
"52","Czech Republic","CZE",2007,16858.1620476826,58.8,1134.13036975,3.7
"53","Denmark","DNK",2007,57021.1731779507,65.9,5531.7014795617,3.8
"54","Djibouti","DJI",2007,1010.0850543247,69.9,70.6849628287,75.7
"55","Dominica","DMA",2007,5032.0990540764,NA,315.0817146203,11.8
"56","Dominican Republic","DOM",2007,4334.3334292806,65.2,224.4325837075,25.2
"57","Ecuador","ECU",2007,3285.5246686919,61.9,185.1718922543,19.9
"58","Egypt, Arab Rep.","EGY",2007,1695.7399115112,47.8,81.3351583156,22.9
"59","El Salvador","SLV",2007,3339.9673620213,60.6,207.474960949,17.3
"60","Equatorial Guinea","GNQ",2007,19528.2381939686,64.7,348.2243571823,85.5
"61","Eritrea","ERI",2007,274.6622872643,71.2,9.0738577329,47
"62","Estonia","EST",2007,15938.2581141633,60.6,847.4649782194,5.6
"63","Ethiopia","ETH",2007,251.5840751909,84.3,11.663644802,73
"64","Faeroe Islands","FRO",2007,46904.181018122,NA,NA,NA
"65","Fiji","FJI",2007,4046.4471524132,59,151.3063325599,16
"66","Finland","FIN",2007,46505.0461796809,61.3,3800.7102954351,2.8
"67","France","FRA",2007,40459.7269376889,56.2,4474.4148261678,3.7
"68","French Polynesia","PYF",2007,NA,57.1,NA,NA
"69","Gabon","GAB",2007,8127.6727306714,74.9,233.978134121,57
"70","Gambia, The","GMB",2007,409.043774192,77.9,21.8961748641,59.4
"71","Georgia","GEO",2007,2318.1272613217,63.6,190.4008320885,22.3
"72","Germany","DEU",2007,40467.8744410171,59.6,4221.1451592619,3.7
"73","Ghana","GHA",2007,1084.5387168886,74.4,52.9840767033,53.8
"74","Gibraltar","GIB",2007,NA,NA,NA,NA
"75","Greece","GRC",2007,27766.9373699601,53.9,2674.4235741014,4
"76","Greenland","GRL",2007,37516.7509225391,NA,NA,NA
"77","Grenada","GRD",2007,5904.3108752171,NA,415.7148842083,10.1
