"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",2005,227.8803608481,59.3,32.5157023742,103.8
"2","Albania","ALB",2005,2666.1416196075,60.2,179.4162274952,20.3
"3","Algeria","DZA",2005,3111.7034468681,57.1,111.2355321614,35.9
"4","American Samoa","ASM",2005,NA,NA,NA,NA
"5","Andorra","AND",2005,32607.83799722,NA,2311.7840765787,3.3
"6","Angola","AGO",2005,1857.7430978923,82,36.1272031213,107.8
"7","Antigua and Barbuda","ATG",2005,10329.5974928494,NA,494.708994709,9.3
"8","Argentina","ARG",2005,4735.9836839684,63.9,399.8610148137,14.8
"9","Armenia","ARM",2005,1598.3399485135,65.2,77.7122705954,22.7
"10","Aruba","ABW",2005,NA,NA,NA,NA
"11","Australia","AUS",2005,34127.9972907797,64.5,3157.7543088506,4.7
"12","Austria","AUT",2005,36792.1899350721,59,3837.4089202422,4
"13","Azerbaijan","AZE",2005,1578.3673303067,63.6,122.1983130691,47
"14","Bahamas, The","BHS",2005,20380.8105922176,73.4,1250.2734288593,13.8
"15","Bahrain","BHR",2005,18570.7344019822,64.6,685.6010677331,9.5
"16","Bangladesh","BGD",2005,428.7534812244,70.9,12.0748637139,49.1
"17","Barbados","BRB",2005,11108.9340968492,71.5,826.0579425155,16.1
"18","Belarus","BLR",2005,3090.3594790986,59.3,209.5834557846,6.9
"19","Belgium","BEL",2005,35941.4485831708,53.3,3699.871541769,4
"20","Belize","BLZ",2005,3820.6806298036,63,139.7838416114,18.2
"21","Benin","BEN",2005,561.6453188207,72.6,26.2216236391,80.5
"22","Bermuda","BMU",2005,76233.2389491899,NA,NA,NA
"23","Bhutan","BTN",2005,1242.0413167007,60.5,58.3153129096,53.4
"24","Bolivia","BOL",2005,1044.0096736672,71.4,57.5422836496,50.1
"25","Bosnia and Herzegovina","BIH",2005,2846.7508339008,61.4,262.7807787552,7.6
"26","Botswana","BWA",2005,5467.6101392877,75.7,420.1292453125,43
"27","Brazil","BRA",2005,4743.2641123219,70.1,387.265853091,23.3
"28","Brunei Darussalam","BRN",2005,26248.4139805206,67.6,640.0780722121,6.4
"29","Bulgaria","BGR",2005,3733.263160997,50.5,273.5994776487,13.3
"30","Burkina Faso","BFA",2005,382.2553237844,84.3,27.3163742951,95.4
"31","Burundi","BDI",2005,109.7553908106,89.4,11.5760268311,94.3
"32","Cambodia","KHM",2005,471.1219389175,79.9,28.9414543452,58.3
"33","Cameroon","CMR",2005,944.9841703694,66.6,45.3647176449,87.5
"34","Canada","CAN",2005,35087.8925933298,66.7,3297.8076964895,5.2
"35","Cape Verde","CPV",2005,2113.2767036259,64.6,96.9406005171,32.7
"36","Cayman Islands","CYM",2005,NA,NA,NA,NA
"37","Central African Republic","CAF",2005,336.0098571861,78.7,14.0458128576,110.8
"38","Chad","TCD",2005,541.7935128594,70.4,25.2973445096,102.1
"39","Channel Islands","CHI",2005,59337.8241046008,NA,NA,NA
"40","Chile","CHL",2005,7253.8104407088,55.3,501.452563611,7.9
"41","China","CHN",2005,1731.1255247577,74.8,80.5770532838,21
"42","Colombia","COL",2005,3405.4000725007,58.1,211.034228546,19.4
"43","Comoros","COM",2005,601.9472531919,78.4,18.7343612462,69
"44","Congo, Dem. Rep.","COD",2005,123.7108174769,70.5,6.403575477,117.3
"45","Congo, Rep.","COG",2005,1722.8133009245,72.2,42.8625728489,63.4
"46","Costa Rica","CRI",2005,4632.8569092786,62.2,356.6872329473,9.2
"47","Cote d'Ivoire","CIV",2005,908.0234509594,66.6,36.5405544847,92.8
"48","Croatia","HRV",2005,10090.3666886392,53.5,704.1182860632,5.8
"49","Cuba","CUB",2005,3789.113473835,53.1,354.9210984677,5.3
"50","Curacao","CUW",2005,NA,NA,NA,NA
"51","Cyprus","CYP",2005,22427.7746307115,61.4,1392.1731868807,3.9
"52","Czech Republic","CZE",2005,12167.9038133509,59.3,879.6889634838,4.2
"53","Denmark","DNK",2005,47576.9170839494,65.9,4503.5802205047,4.1
"54","Djibouti","DJI",2005,876.8834414771,69.6,59.9081429963,77.9
"55","Dominica","DMA",2005,4341.7563374038,NA,266.7692300935,12.1
"56","Dominican Republic","DOM",2005,3670.4505390382,65.1,192.809276024,27.1
"57","Ecuador","ECU",2005,2769.6878136079,61.1,146.9279350571,21.7
"58","Egypt, Arab Rep.","EGY",2005,1208.6501223588,48,63.3880735625,26.5
"59","El Salvador","SLV",2005,2821.2814351444,60.1,201.5158667543,19.9
"60","Equatorial Guinea","GNQ",2005,13521.0977143261,64.3,229.0635736037,89.2
"61","Eritrea","ERI",2005,244.8407164786,70.6,7.8595810537,50.4
"62","Estonia","EST",2005,10328.5938157068,58.5,516.430337598,6.7
"63","Ethiopia","ETH",2005,165.7145926325,84.6,6.7652845778,76.7
"64","Faeroe Islands","FRO",2005,35867.509954535,NA,NA,NA
"65","Fiji","FJI",2005,3655.3571803691,59,129.705171021,16.9
"66","Finland","FIN",2005,37289.8770219551,60.6,3158.1083819483,3
"67","France","FRA",2005,33912.902730219,56.1,3801.8508908102,3.8
"68","French Polynesia","PYF",2005,NA,57,NA,NA
"69","Gabon","GAB",2005,6321.992869677,74.7,164.4024610789,59.2
"70","Gambia, The","GMB",2005,306.6031231112,78.1,18.4874246862,61.2
"71","Georgia","GEO",2005,1470.0407634659,63.7,123.3316588338,24.2
"72","Germany","DEU",2005,33811.205035665,58.9,3635.0956861578,3.9
"73","Ghana","GHA",2005,495.3993577114,74.5,35.0089910103,56.6
"74","Gibraltar","GIB",2005,NA,NA,NA,NA
"75","Greece","GRC",2005,21818.8478918202,53.6,2095.6966175556,4.6
"76","Greenland","GRL",2005,29903.284035428,NA,NA,NA
"77","Grenada","GRD",2005,5391.2165576575,NA,318.6991869919,10.7
"78","Guam","GUM",2005,NA,64.9,NA,NA
"79","Guatemala","GTM",2005,2139.7264178629,65.1,132.0448356451,30.5
"80","Guinea","GIN",2005,324.8453605526,84.2,16.3004549309,92.7
"81","Guinea-Bissau","GNB",2005,418.844505961,71.5,11.899783977,98.8
"82","Guyana","GUY",2005,1105.3897905405,63.8,74.8274131898,30.8
"83","Haiti","HTI",2005,444.4342611391,69.4,19.4576776902,66.6
"84","Honduras","HND",2005,1418.362289464,61.9,86.8609504181,25
"85","Hong Kong SAR, China","HKG",2005,26092.2517778918,60.8,NA,NA
"86","Hungary","HUN",2005,10924.4307424643,50.1,910.2135998549,7
"87","Iceland","ISL",2005,54937.5765399377,77.8,5217.3793993039,2.2
"88","India","IND",2005,761.9667042199,57.8,29.9731177301,54.9
"89","Indonesia","IDN",2005,1257.6533962475,68.2,26.8435713499,32.4
"90","Iran, Islamic Rep.","IRN",2005,2753.6127036191,52.9,153.8308209348,27.4
"91","Iraq","IRQ",2005,1134.7368515199,41.5,56.8415053358,32.9
"92","Ireland","IRL",2005,48523.2063599446,62.2,3627.0328074072,4.4
"93","Isle of Man","IMN",2005,36449.1134120432,NA,NA,NA
"94","Israel","ISR",2005,19371.5647061962,56.4,1477.5499185299,4.4
"95","Italy","ITA",2005,30332.4250860393,48.9,2613.4057954025,3.8
"96","Jamaica","JAM",2005,4207.5639372688,65.6,171.4027775999,22.5
"97","Japan","JPN",2005,35627.2466412132,60.5,2907.8766015591,2.8
"98","Jordan","JOR",2005,2326.2802305854,48.9,202.0676022337,21.3
"99","Kazakhstan","KAZ",2005,3771.2789573385,69.4,152.986096902,33.2
"100","Kenya","KEN",2005,526.130720901,81.7,22.3319899503,61.4
"101","Kiribati","KIR",2005,1184.2687165226,NA,126.9498838367,43.8
"102","Korea, Dem. Rep.","PRK",2005,NA,65.7,NA,25.8
"103","Korea, Rep.","KOR",2005,17550.8538854009,61.4,1005.3978192046,4.5
"104","Kosovo","KSV",2005,2118.3457726043,NA,NA,NA
"105","Kuwait","KWT",2005,35687.9176566397,69.4,729.1003238544,9.8
