"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1971,149.1969284771,NA,NA,NA
"2","Albania","ALB",1971,NA,NA,NA,NA
"3","Algeria","DZA",1971,358.4118391771,NA,NA,NA
"4","American Samoa","ASM",1971,NA,NA,NA,NA
"5","Andorra","AND",1971,3484.8245834897,NA,NA,NA
"6","Angola","AGO",1971,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",1971,NA,NA,NA,NA
"8","Argentina","ARG",1971,1365.8126936778,NA,NA,NA
"9","Armenia","ARM",1971,NA,NA,NA,NA
"10","Aruba","ABW",1971,NA,NA,NA,NA
"11","Australia","AUS",1971,3516.0962038064,NA,NA,NA
"12","Austria","AUT",1971,2376.4977320021,NA,NA,NA
"13","Azerbaijan","AZE",1971,NA,NA,NA,NA
"14","Bahamas, The","BHS",1971,3297.771387491,NA,NA,NA
"15","Bahrain","BHR",1971,NA,NA,NA,NA
"16","Bangladesh","BGD",1971,128.9894116699,NA,NA,NA
"17","Barbados","BRB",1971,850.6065638828,NA,NA,NA
"18","Belarus","BLR",1971,NA,NA,NA,NA
"19","Belgium","BEL",1971,3041.4106652218,NA,NA,NA
"20","Belize","BLZ",1971,486.4179321534,NA,NA,NA
"21","Benin","BEN",1971,114.4590965174,NA,NA,NA
"22","Bermuda","BMU",1971,3866.3003663004,NA,NA,NA
"23","Bhutan","BTN",1971,NA,NA,NA,NA
"24","Bolivia","BOL",1971,253.6030361987,NA,NA,NA
"25","Bosnia and Herzegovina","BIH",1971,NA,NA,NA,NA
"26","Botswana","BWA",1971,177.4277314562,NA,NA,NA
"27","Brazil","BRA",1971,499.8160519656,NA,NA,NA
"28","Brunei Darussalam","BRN",1971,1507.6954373092,NA,NA,NA
"29","Bulgaria","BGR",1971,NA,NA,NA,NA
"30","Burkina Faso","BFA",1971,80.9129001637,NA,NA,NA
"31","Burundi","BDI",1971,71.2259077289,NA,NA,NA
"32","Cambodia","KHM",1971,137.781668512,NA,NA,NA
"33","Cameroon","CMR",1971,175.729034486,NA,NA,NA
"34","Canada","CAN",1971,4503.1807450073,NA,NA,NA
"35","Cape Verde","CPV",1971,NA,NA,NA,NA
"36","Cayman Islands","CYM",1971,NA,NA,NA,NA
"37","Central African Republic","CAF",1971,107.3504451063,NA,NA,NA
"38","Chad","TCD",1971,133.2373244198,NA,NA,NA
"39","Channel Islands","CHI",1971,NA,NA,NA,NA
"40","Chile","CHL",1971,1096.5472619689,NA,NA,NA
"41","China","CHN",1971,117.1815906033,NA,NA,NA
"42","Colombia","COL",1971,357.7202060178,NA,NA,NA
"43","Comoros","COM",1971,NA,NA,NA,NA
"44","Congo, Dem. Rep.","COD",1971,268.3975791689,NA,NA,NA
"45","Congo, Rep.","COG",1971,232.6069891913,NA,NA,NA
"46","Costa Rica","CRI",1971,577.5497924442,NA,NA,NA
"47","Cote d'Ivoire","CIV",1971,278.3133536811,NA,NA,NA
"48","Croatia","HRV",1971,NA,NA,NA,NA
"49","Cuba","CUB",1971,780.7795910767,NA,NA,NA
"50","Curacao","CUW",1971,NA,NA,NA,NA
"51","Cyprus","CYP",1971,NA,NA,NA,NA
"52","Czech Republic","CZE",1971,NA,NA,NA,NA
"53","Denmark","DNK",1971,3730.7165221988,NA,NA,NA
"54","Djibouti","DJI",1971,NA,NA,NA,NA
"55","Dominica","DMA",1971,NA,NA,NA,NA
"56","Dominican Republic","DOM",1971,359.3216962037,NA,NA,NA
"57","Ecuador","ECU",1971,263.3487495017,NA,NA,NA
"58","Egypt, Arab Rep.","EGY",1971,224.9181541099,NA,NA,NA
"59","El Salvador","SLV",1971,309.1362645313,NA,NA,NA
"60","Equatorial Guinea","GNQ",1971,227.9536376255,NA,NA,NA
"61","Eritrea","ERI",1971,NA,NA,NA,NA
"62","Estonia","EST",1971,NA,NA,NA,NA
"63","Ethiopia","ETH",1971,NA,NA,NA,NA
"64","Faeroe Islands","FRO",1971,NA,NA,NA,NA
"65","Fiji","FJI",1971,466.0174589542,NA,NA,NA
"66","Finland","FIN",1971,2680.613707317,NA,NA,NA
"67","France","FRA",1971,3128.0319713882,NA,NA,NA
"68","French Polynesia","PYF",1971,2588.4536907198,NA,NA,NA
"69","Gabon","GAB",1971,702.6583722467,NA,NA,NA
"70","Gambia, The","GMB",1971,117.9381577606,NA,NA,NA
"71","Georgia","GEO",1971,NA,NA,NA,NA
"72","Germany","DEU",1971,3087.0934294826,NA,NA,NA
"73","Ghana","GHA",1971,272.5850714442,NA,NA,NA
"74","Gibraltar","GIB",1971,NA,NA,NA,NA
"75","Greece","GRC",1971,1590.0442655521,NA,NA,NA
"76","Greenland","GRL",1971,1876.5042235484,NA,NA,NA
"77","Grenada","GRD",1971,NA,NA,NA,NA
"78","Guam","GUM",1971,NA,NA,NA,NA
"79","Guatemala","GTM",1971,354.5715397387,NA,NA,NA
"80","Guinea","GIN",1971,NA,NA,NA,NA
"81","Guinea-Bissau","GNB",1971,127.9471920527,NA,NA,NA
"82","Guyana","GUY",1971,386.4778431233,NA,NA,NA
"83","Haiti","HTI",1971,NA,NA,NA,NA
"84","Honduras","HND",1971,264.5558176584,NA,NA,NA
"85","Hong Kong SAR, China","HKG",1971,1102.0038155452,NA,NA,NA
"86","Hungary","HUN",1971,581.9628794589,NA,NA,NA
"87","Iceland","ISL",1971,3205.4455538394,NA,NA,NA
"88","India","IND",1971,118.2798371715,NA,NA,NA
"89","Indonesia","IDN",1971,81.1256279825,NA,NA,NA
"90","Iran, Islamic Rep.","IRN",1971,448.7736322818,NA,NA,NA
"91","Iraq","IRQ",1971,400.1223033939,NA,NA,NA
"92","Ireland","IRL",1971,1661.5081551869,NA,NA,NA
"93","Isle of Man","IMN",1971,NA,NA,NA,NA
"94","Israel","ISR",1971,1815.9362700281,NA,NA,NA
"95","Italy","ITA",1971,2221.4011050054,NA,NA,NA
"96","Jamaica","JAM",1971,812.3226663865,NA,NA,NA
"97","Japan","JPN",1971,2201.3924561177,NA,NA,NA
"98","Jordan","JOR",1971,430.8932108852,NA,NA,NA
"99","Kazakhstan","KAZ",1971,NA,NA,NA,NA
"100","Kenya","KEN",1971,152.5557448957,NA,NA,NA
"101","Kiribati","KIR",1971,307.1304150377,NA,NA,NA
"102","Korea, Dem. Rep.","PRK",1971,NA,NA,NA,NA
"103","Korea, Rep.","KOR",1971,302.2277792679,NA,NA,NA
"104","Kosovo","KSV",1971,NA,NA,NA,NA
"105","Kuwait","KWT",1971,4783.5977863685,NA,NA,NA
"106","Kyrgyz Republic","KGZ",1971,NA,NA,NA,NA
"107","Lao PDR","LAO",1971,NA,NA,NA,NA
"108","Latvia","LVA",1971,NA,NA,NA,NA
"109","Lebanon","LBN",1971,NA,NA,NA,NA
"110","Lesotho","LSO",1971,72.5610403066,NA,NA,NA
