"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1966,128.1145063571,NA,NA,NA
"2","Albania","ALB",1966,NA,NA,NA,NA
"3","Algeria","DZA",1966,248.5605729071,NA,NA,NA
"4","American Samoa","ASM",1966,NA,NA,NA,NA
"5","Andorra","AND",1966,NA,NA,NA,NA
"6","Angola","AGO",1966,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",1966,NA,NA,NA,NA
"8","Argentina","ARG",1966,1265.6024904565,NA,NA,NA
"9","Armenia","ARM",1966,NA,NA,NA,NA
"10","Aruba","ABW",1966,NA,NA,NA,NA
"11","Australia","AUS",1966,2357.3565919699,NA,NA,NA
"12","Austria","AUT",1966,1489.8306339767,NA,NA,NA
"13","Azerbaijan","AZE",1966,NA,NA,NA,NA
"14","Bahamas, The","BHS",1966,2322.7375945855,NA,NA,NA
"15","Bahrain","BHR",1966,NA,NA,NA,NA
"16","Bangladesh","BGD",1966,107.9014684086,NA,NA,NA
"17","Barbados","BRB",1966,523.9581821428,NA,NA,NA
"18","Belarus","BLR",1966,NA,NA,NA,NA
"19","Belgium","BEL",1966,1961.7041936503,NA,NA,NA
"20","Belize","BLZ",1966,401.3393402403,NA,NA,NA
"21","Benin","BEN",1966,113.9275174064,NA,NA,NA
"22","Bermuda","BMU",1966,2630.8504663295,NA,NA,NA
"23","Bhutan","BTN",1966,NA,NA,NA,NA
"24","Bolivia","BOL",1966,258.8825559062,NA,NA,NA
"25","Bosnia and Herzegovina","BIH",1966,NA,NA,NA,NA
"26","Botswana","BWA",1966,84.2857164945,NA,NA,NA
"27","Brazil","BRA",1966,312.015514521,NA,NA,NA
"28","Brunei Darussalam","BRN",1966,1274.9293709834,NA,NA,NA
"29","Bulgaria","BGR",1966,NA,NA,NA,NA
"30","Burkina Faso","BFA",1966,80.2819147628,NA,NA,NA
"31","Burundi","BDI",1966,50.5102547054,NA,NA,NA
"32","Cambodia","KHM",1966,144.8873772306,NA,NA,NA
"33","Cameroon","CMR",1966,137.7609997808,NA,NA,NA
