"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1982,NA,59.5,NA,NA
"2","Albania","ALB",1982,NA,61.9,NA,NA
"3","Algeria","DZA",1982,2249.5960651713,44.8,NA,NA
"4","American Samoa","ASM",1982,NA,NA,NA,NA
"5","Andorra","AND",1982,9082.2600366789,NA,NA,NA
"6","Angola","AGO",1982,NA,82.1,NA,NA
"7","Antigua and Barbuda","ATG",1982,2005.0267479828,NA,NA,NA
"8","Argentina","ARG",1982,2907.0484608743,59,NA,NA
"9","Armenia","ARM",1982,NA,67.7,NA,NA
"10","Aruba","ABW",1982,NA,NA,NA,NA
"11","Australia","AUS",1982,12854.9938864429,60.9,NA,NA
"12","Austria","AUT",1982,9332.2483469226,54.2,NA,NA
"13","Azerbaijan","AZE",1982,NA,64.1,NA,NA
"14","Bahamas, The","BHS",1982,7167.9657020364,68.4,NA,NA
"15","Bahrain","BHR",1982,9499.4457982592,62.1,NA,NA
"16","Bangladesh","BGD",1982,212.3974340107,73.5,NA,NA
"17","Barbados","BRB",1982,3944.8735557742,64.4,NA,NA
"18","Belarus","BLR",1982,NA,68.9,NA,NA
"19","Belgium","BEL",1982,9218.1578960947,49.7,NA,NA
"20","Belize","BLZ",1982,1165.1078076692,58.3,NA,NA
"21","Benin","BEN",1982,332.6206298595,72.1,NA,NA
"22","Bermuda","BMU",1982,14333.942189781,NA,NA,NA
"23","Bhutan","BTN",1982,318.0827651944,58.9,NA,NA
"24","Bolivia","BOL",1982,1000.871924677,68.9,NA,NA
"25","Bosnia and Herzegovina","BIH",1982,NA,59.4,NA,NA
"26","Botswana","BWA",1982,948.4949417628,72.8,NA,NA
"27","Brazil","BRA",1982,2209.01875473,62.4,NA,NA
"28","Brunei Darussalam","BRN",1982,21183.4632537772,60.2,NA,NA
"29","Bulgaria","BGR",1982,2226.6803736205,65.4,NA,NA
"30","Burkina Faso","BFA",1982,231.6809597332,84.1,NA,NA
"31","Burundi","BDI",1982,230.5103837104,89.7,NA,NA
"32","Cambodia","KHM",1982,NA,80.8,NA,NA
"33","Cameroon","CMR",1982,758.7291246004,65.2,NA,NA
"34","Canada","CAN",1982,12217.3734337922,64,NA,NA
"35","Cape Verde","CPV",1982,NA,60.2,NA,NA
"36","Cayman Islands","CYM",1982,NA,NA,NA,NA
"37","Central African Republic","CAF",1982,310.3527983947,78.1,NA,NA
"38","Chad","TCD",1982,175.0986411948,73.9,NA,NA
"39","Channel Islands","CHI",1982,NA,NA,NA,NA
"40","Chile","CHL",1982,2111.4637862504,49.6,NA,NA
"41","China","CHN",1982,201.4447468168,79,NA,NA
"42","Colombia","COL",1982,1386.5523508675,50,NA,NA
"43","Comoros","COM",1982,303.8711731468,75.1,NA,NA
