"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1977,208.013943778,NA,NA,NA
"2","Albania","ALB",1977,NA,NA,NA,NA
"3","Algeria","DZA",1977,1228.7110719614,NA,NA,NA
"4","American Samoa","ASM",1977,NA,NA,NA,NA
"5","Andorra","AND",1977,7632.3828584163,NA,NA,NA
"6","Angola","AGO",1977,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",1977,940.8748563504,NA,NA,NA
"8","Argentina","ARG",1977,2110.8824296351,NA,NA,NA
"9","Armenia","ARM",1977,NA,NA,NA,NA
"10","Aruba","ABW",1977,NA,NA,NA,NA
"11","Australia","AUS",1977,7813.3223826716,NA,NA,NA
"12","Austria","AUT",1977,6766.095448357,NA,NA,NA
"13","Azerbaijan","AZE",1977,NA,NA,NA,NA
"14","Bahamas, The","BHS",1977,3617.636612715,NA,NA,NA
"15","Bahrain","BHR",1977,NA,NA,NA,NA
"16","Bangladesh","BGD",1977,130.3169240261,NA,NA,NA
"17","Barbados","BRB",1977,2003.4824838355,NA,NA,NA
"18","Belarus","BLR",1977,NA,NA,NA,NA
"19","Belgium","BEL",1977,8320.3975994996,NA,NA,NA
"20","Belize","BLZ",1977,873.5733570667,NA,NA,NA
"21","Benin","BEN",1977,224.465920258,NA,NA,NA
"22","Bermuda","BMU",1977,8370.7865168539,NA,NA,NA
"23","Bhutan","BTN",1977,NA,NA,NA,NA
"24","Bolivia","BOL",1977,646.1111412898,NA,NA,NA
"25","Bosnia and Herzegovina","BIH",1977,NA,NA,NA,NA
"26","Botswana","BWA",1977,508.7249991255,NA,NA,NA
"27","Brazil","BRA",1977,1552.962039556,NA,NA,NA
"28","Brunei Darussalam","BRN",1977,10200.577876203,NA,NA,NA
"29","Bulgaria","BGR",1977,NA,NA,NA,NA
"30","Burkina Faso","BFA",1977,168.1931014868,NA,NA,NA
"31","Burundi","BDI",1977,143.367129703,NA,NA,NA
"32","Cambodia","KHM",1977,NA,NA,NA,NA
"33","Cameroon","CMR",1977,404.5807562996,NA,NA,NA
"34","Canada","CAN",1977,8731.6789166148,NA,NA,NA
"35","Cape Verde","CPV",1977,NA,NA,NA,NA
"36","Cayman Islands","CYM",1977,NA,NA,NA,NA
"37","Central African Republic","CAF",1977,240.6279594499,NA,NA,NA
"38","Chad","TCD",1977,218.2501777948,NA,NA,NA
"39","Channel Islands","CHI",1977,NA,NA,NA,NA
"40","Chile","CHL",1977,1246.2182370715,NA,NA,NA
"41","China","CHN",1977,182.6785679579,NA,NA,NA
"42","Colombia","COL",1977,776.0604926999,NA,NA,NA
"43","Comoros","COM",1977,NA,NA,NA,NA
"44","Congo, Dem. Rep.","COD",1977,498.9583945476,NA,NA,NA
"45","Congo, Rep.","COG",1977,464.1472853631,NA,NA,NA
"46","Costa Rica","CRI",1977,1423.6900811871,NA,NA,NA
"47","Cote d'Ivoire","CIV",1977,844.4419681184,NA,NA,NA
"48","Croatia","HRV",1977,NA,NA,NA,NA
"49","Cuba","CUB",1977,1477.6261874358,NA,NA,NA
"50","Curacao","CUW",1977,NA,NA,NA,NA
"51","Cyprus","CYP",1977,NA,NA,NA,NA
"52","Czech Republic","CZE",1977,NA,NA,NA,NA
"53","Denmark","DNK",1977,9601.9609772063,NA,NA,NA
"54","Djibouti","DJI",1977,NA,NA,NA,NA
"55","Dominica","DMA",1977,495.4281279361,NA,NA,NA
"56","Dominican Republic","DOM",1977,849.0411449274,NA,NA,NA
"57","Ecuador","ECU",1977,946.7083946262,NA,NA,NA
"58","Egypt, Arab Rep.","EGY",1977,348.7946797166,NA,NA,NA
"59","El Salvador","SLV",1977,666.7003811445,NA,NA,NA
"60","Equatorial Guinea","GNQ",1977,471.7099727638,NA,NA,NA
"61","Eritrea","ERI",1977,NA,NA,NA,NA
"62","Estonia","EST",1977,NA,NA,NA,NA
"63","Ethiopia","ETH",1977,NA,NA,NA,NA
"64","Faeroe Islands","FRO",1977,NA,NA,NA,NA
"65","Fiji","FJI",1977,1202.6333870531,NA,NA,NA
"66","Finland","FIN",1977,6982.1454298318,NA,NA,NA
"67","France","FRA",1977,7449.0326038375,NA,NA,NA
"68","French Polynesia","PYF",1977,5746.6523753727,NA,NA,NA
"69","Gabon","GAB",1977,4474.7594864136,NA,NA,NA
"70","Gambia, The","GMB",1977,241.469552016,NA,NA,NA
"71","Georgia","GEO",1977,NA,NA,NA,NA
"72","Germany","DEU",1977,7434.3093658455,NA,NA,NA
"73","Ghana","GHA",1977,309.9438515042,NA,NA,NA
"74","Gibraltar","GIB",1977,NA,NA,NA,NA
"75","Greece","GRC",1977,3739.657880346,NA,NA,NA
"76","Greenland","GRL",1977,5713.9630170602,NA,NA,NA
"77","Grenada","GRD",1977,591.5883160685,NA,NA,NA
"78","Guam","GUM",1977,NA,NA,NA,NA
"79","Guatemala","GTM",1977,837.4307500342,NA,NA,NA
"80","Guinea","GIN",1977,NA,NA,NA,NA
"81","Guinea-Bissau","GNB",1977,153.1612820529,NA,NA,NA
"82","Guyana","GUY",1977,590.0212763334,NA,NA,NA
"83","Haiti","HTI",1977,NA,NA,NA,NA
"84","Honduras","HND",1977,505.7964265535,NA,NA,NA
"85","Hong Kong SAR, China","HKG",1977,3426.5187735039,NA,NA,NA
"86","Hungary","HUN",1977,1332.5055693007,NA,NA,NA
"87","Iceland","ISL",1977,9800.8616702387,NA,NA,NA
"88","India","IND",1977,186.453277321,NA,NA,NA
"89","Indonesia","IDN",1977,343.9961160702,NA,NA,NA
"90","Iran, Islamic Rep.","IRN",1977,2146.6108268451,NA,NA,NA
"91","Iraq","IRQ",1977,1859.7520218981,NA,NA,NA
"92","Ireland","IRL",1977,3336.4237675753,NA,NA,NA
"93","Isle of Man","IMN",1977,NA,NA,NA,NA
"94","Israel","ISR",1977,3812.9719251436,NA,NA,NA
"95","Italy","ITA",1977,4435.5350637867,NA,NA,NA
"96","Jamaica","JAM",1977,1578.0007388254,NA,NA,NA
"97","Japan","JPN",1977,6138.6784682496,NA,NA,NA
"98","Jordan","JOR",1977,1055.2901653668,NA,NA,NA
"99","Kazakhstan","KAZ",1977,NA,NA,NA,NA
"100","Kenya","KEN",1977,309.3727777648,NA,NA,NA
"101","Kiribati","KIR",1977,707.5136312602,NA,NA,NA
"102","Korea, Dem. Rep.","PRK",1977,NA,NA,NA,NA
"103","Korea, Rep.","KOR",1977,1041.5862811552,NA,NA,NA
"104","Kosovo","KSV",1977,NA,NA,NA,NA
"105","Kuwait","KWT",1977,11991.7274618475,NA,NA,NA
"106","Kyrgyz Republic","KGZ",1977,NA,NA,NA,NA
"107","Lao PDR","LAO",1977,NA,NA,NA,NA
"108","Latvia","LVA",1977,NA,NA,NA,NA
"109","Lebanon","LBN",1977,NA,NA,NA,NA
"110","Lesotho","LSO",1977,159.7783738769,NA,NA,NA
"111","Liberia","LBR",1977,424.4936693217,NA,NA,NA
"112","Libya","LBY",1977,NA,NA,NA,NA
"113","Liechtenstein","LIE",1977,12620.3054482308,NA,NA,NA
"114","Lithuania","LTU",1977,NA,NA,NA,NA
"115","Luxembourg","LUX",1977,10387.6420809692,NA,NA,NA
"116","Macao SAR, China","MAC",1977,NA,NA,NA,NA
"117","Macedonia, FYR","MKD",1977,NA,NA,NA,NA
"118","Madagascar","MDG",1977,297.3448546277,NA,NA,NA
"119","Malawi","MWI",1977,142.1932515013,NA,NA,NA
"120","Malaysia","MYS",1977,1084.0358613021,NA,NA,NA
"121","Maldives","MDV",1977,NA,NA,NA,NA
"122","Mali","MLI",1977,153.2942924014,NA,NA,NA
"123","Malta","MLT",1977,1823.9444859875,NA,NA,NA
"124","Marshall Islands","MHL",1977,NA,NA,NA,NA
"125","Mauritania","MRT",1977,388.5938019067,NA,NA,NA
"126","Mauritius","MUS",1977,897.6690925134,NA,NA,NA
"127","Mayotte","MYT",1977,NA,NA,NA,NA
"128","Mexico","MEX",1977,1284.078269694,NA,NA,NA
"129","Micronesia, Fed. Sts.","FSM",1977,NA,NA,NA,NA
"130","Moldova","MDA",1977,NA,NA,NA,NA
"131","Monaco","MCO",1977,31836.2344945059,NA,NA,NA
"132","Mongolia","MNG",1977,NA,NA,NA,NA
"133","Montenegro","MNE",1977,NA,NA,NA,NA
"134","Morocco","MAR",1977,605.1775058287,NA,NA,NA
"135","Mozambique","MOZ",1977,NA,NA,NA,NA
"136","Myanmar","MMR",1977,NA,NA,NA,NA
"137","Namibia","NAM",1977,NA,NA,NA,NA
"138","Nepal","NPL",1977,98.6262879153,NA,NA,NA
"139","Netherlands","NLD",1977,8575.3571775915,NA,NA,NA
"140","New Caledonia","NCL",1977,6050.32559963,NA,NA,NA
"141","New Zealand","NZL",1977,4881.4783056465,NA,NA,NA
"142","Nicaragua","NIC",1977,750.0379308772,NA,NA,NA
