"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1965,94.0987322771,NA,NA,NA
"2","Albania","ALB",1965,NA,NA,NA,NA
"3","Algeria","DZA",1965,263.0448594363,NA,NA,NA
"4","American Samoa","ASM",1965,NA,NA,NA,NA
"5","Andorra","AND",1965,NA,NA,NA,NA
"6","Angola","AGO",1965,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",1965,NA,NA,NA,NA
"8","Argentina","ARG",1965,1271.2552753529,NA,NA,NA
"9","Armenia","ARM",1965,NA,NA,NA,NA
"10","Aruba","ABW",1965,NA,NA,NA,NA
"11","Australia","AUS",1965,2294.5719820763,NA,NA,NA
"12","Austria","AUT",1965,1377.54246945,NA,NA,NA
"13","Azerbaijan","AZE",1965,NA,NA,NA,NA
"14","Bahamas, The","BHS",1965,2144.6931914919,NA,NA,NA
"15","Bahrain","BHR",1965,NA,NA,NA,NA
"16","Bangladesh","BGD",1965,102.2054824744,NA,NA,NA
"17","Barbados","BRB",1965,487.450833707,NA,NA,NA
"18","Belarus","BLR",1965,NA,NA,NA,NA
"19","Belgium","BEL",1965,1838.63861226,NA,NA,NA
"20","Belize","BLZ",1965,371.9270396124,NA,NA,NA
"21","Benin","BEN",1965,110.5892956575,NA,NA,NA
"22","Bermuda","BMU",1965,2282.2165461624,NA,NA,NA
"23","Bhutan","BTN",1965,NA,NA,NA,NA
"24","Bolivia","BOL",1965,242.1797738753,NA,NA,NA
"25","Bosnia and Herzegovina","BIH",1965,NA,NA,NA,NA
"26","Botswana","BWA",1965,77.084630455,NA,NA,NA
"27","Brazil","BRA",1965,258.2094762581,NA,NA,NA
"28","Brunei Darussalam","BRN",1965,1145.7185908144,NA,NA,NA
"29","Bulgaria","BGR",1965,NA,NA,NA,NA
"30","Burkina Faso","BFA",1965,79.4538856889,NA,NA,NA
"31","Burundi","BDI",1965,49.4869882332,NA,NA,NA
"32","Cambodia","KHM",1965,141.4288049722,NA,NA,NA
"33","Cameroon","CMR",1965,134.5973848437,NA,NA,NA
"34","Canada","CAN",1965,2739.5858492819,NA,NA,NA
"35","Cape Verde","CPV",1965,NA,NA,NA,NA
"36","Cayman Islands","CYM",1965,NA,NA,NA,NA
"37","Central African Republic","CAF",1965,90.6415449072,NA,NA,NA
"38","Chad","TCD",1965,125.8609242689,NA,NA,NA
"39","Channel Islands","CHI",1965,NA,NA,NA,NA
"40","Chile","CHL",1965,699.3962234349,NA,NA,NA
"41","China","CHN",1965,97.4700979794,NA,NA,NA
"42","Colombia","COL",1965,312.0463224568,NA,NA,NA
"43","Comoros","COM",1965,NA,NA,NA,NA
"44","Congo, Dem. Rep.","COD",1965,230.5095018872,NA,NA,NA
"45","Congo, Rep.","COG",1965,170.0297905285,NA,NA,NA
"46","Costa Rica","CRI",1965,374.715893278,NA,NA,NA
"47","Cote d'Ivoire","CIV",1965,206.4078898698,NA,NA,NA
"48","Croatia","HRV",1965,NA,NA,NA,NA
"49","Cuba","CUB",1965,NA,NA,NA,NA
"50","Curacao","CUW",1965,NA,NA,NA,NA
"51","Cyprus","CYP",1965,NA,NA,NA,NA
"52","Czech Republic","CZE",1965,NA,NA,NA,NA
"53","Denmark","DNK",1965,2244.4088665407,NA,NA,NA
"54","Djibouti","DJI",1965,NA,NA,NA,NA
"55","Dominica","DMA",1965,NA,NA,NA,NA
"56","Dominican Republic","DOM",1965,228.0990413727,NA,NA,NA
"57","Ecuador","ECU",1965,240.4824109682,NA,NA,NA
"58","Egypt, Arab Rep.","EGY",1965,160.8883721957,NA,NA,NA
"59","El Salvador","SLV",1965,270.5026487515,NA,NA,NA
"60","Equatorial Guinea","GNQ",1965,240.3168676473,NA,NA,NA
"61","Eritrea","ERI",1965,NA,NA,NA,NA
"62","Estonia","EST",1965,NA,NA,NA,NA
"63","Ethiopia","ETH",1965,NA,NA,NA,NA
"64","Faeroe Islands","FRO",1965,NA,NA,NA,NA
"65","Fiji","FJI",1965,317.0715803087,NA,NA,NA
"66","Finland","FIN",1965,1881.9763407057,NA,NA,NA
"67","France","FRA",1965,2011.9711803238,NA,NA,NA
"68","French Polynesia","PYF",1965,1901.1037121161,NA,NA,NA
"69","Gabon","GAB",1965,447.9759346463,NA,NA,NA
"70","Gambia, The","GMB",1965,NA,NA,NA,NA
"71","Georgia","GEO",1965,NA,NA,NA,NA
"72","Germany","DEU",1965,NA,NA,NA,NA
"73","Ghana","GHA",1965,262.9302974412,NA,NA,NA
"74","Gibraltar","GIB",1965,NA,NA,NA,NA
"75","Greece","GRC",1965,888.956618827,NA,NA,NA
"76","Greenland","GRL",1965,NA,NA,NA,NA
"77","Grenada","GRD",1965,NA,NA,NA,NA
"78","Guam","GUM",1965,NA,NA,NA,NA
"79","Guatemala","GTM",1965,279.5322770145,NA,NA,NA
"80","Guinea","GIN",1965,NA,NA,NA,NA
"81","Guinea-Bissau","GNB",1965,NA,NA,NA,NA
"82","Guyana","GUY",1965,332.9475946277,NA,NA,NA
"83","Haiti","HTI",1965,NA,NA,NA,NA
"84","Honduras","HND",1965,216.4970173934,NA,NA,NA
"85","Hong Kong SAR, China","HKG",1965,678.4218103013,NA,NA,NA
"86","Hungary","HUN",1965,NA,NA,NA,NA
"87","Iceland","ISL",1965,2699.4585019108,NA,NA,NA
"88","India","IND",1965,120.7254790479,NA,NA,NA
"89","Indonesia","IDN",1965,NA,NA,NA,NA
"90","Iran, Islamic Rep.","IRN",1965,245.5647527964,NA,NA,NA
"91","Iraq","IRQ",1965,301.6520032165,NA,NA,NA
"92","Ireland","IRL",1965,1024.2364892504,NA,NA,NA
"93","Isle of Man","IMN",1965,NA,NA,NA,NA
"94","Israel","ISR",1965,1429.3193905693,NA,NA,NA
"95","Italy","ITA",1965,1304.4625777934,NA,NA,NA
"96","Jamaica","JAM",1965,552.3633927303,NA,NA,NA
"97","Japan","JPN",1965,919.7766881848,NA,NA,NA
"98","Jordan","JOR",1965,531.7019149788,NA,NA,NA
"99","Kazakhstan","KAZ",1965,NA,NA,NA,NA
"100","Kenya","KEN",1965,104.9929135451,NA,NA,NA
"101","Kiribati","KIR",1965,NA,NA,NA,NA
"102","Korea, Dem. Rep.","PRK",1965,NA,NA,NA,NA
"103","Korea, Rep.","KOR",1965,105.7698691365,NA,NA,NA
"104","Kosovo","KSV",1965,NA,NA,NA,NA
"105","Kuwait","KWT",1965,4331.2214350931,NA,NA,NA
"106","Kyrgyz Republic","KGZ",1965,NA,NA,NA,NA
"107","Lao PDR","LAO",1965,NA,NA,NA,NA
"108","Latvia","LVA",1965,NA,NA,NA,NA
"109","Lebanon","LBN",1965,NA,NA,NA,NA
"110","Lesotho","LSO",1965,58.802697556,NA,NA,NA
"111","Liberia","LBR",1965,197.1604377138,NA,NA,NA
"112","Libya","LBY",1965,NA,NA,NA,NA
"113","Liechtenstein","LIE",1965,NA,NA,NA,NA
"114","Lithuania","LTU",1965,NA,NA,NA,NA
"115","Luxembourg","LUX",1965,2767.5697788016,NA,NA,NA
"116","Macao SAR, China","MAC",1965,NA,NA,NA,NA
"117","Macedonia, FYR","MKD",1965,NA,NA,NA,NA
"118","Madagascar","MDG",1965,144.6052186401,NA,NA,NA
"119","Malawi","MWI",1965,57.7300563688,NA,NA,NA
"120","Malaysia","MYS",1965,333.126245588,NA,NA,NA
"121","Maldives","MDV",1965,NA,NA,NA,NA
"122","Mali","MLI",1965,NA,NA,NA,NA
"123","Malta","MLT",1965,NA,NA,NA,NA
"124","Marshall Islands","MHL",1965,NA,NA,NA,NA
"125","Mauritania","MRT",1965,175.6169528208,NA,NA,NA
"126","Mauritius","MUS",1965,NA,NA,NA,NA
"127","Mayotte","MYT",1965,NA,NA,NA,NA
"128","Mexico","MEX",1965,486.2021978026,NA,NA,NA
"129","Micronesia, Fed. Sts.","FSM",1965,NA,NA,NA,NA
"130","Moldova","MDA",1965,NA,NA,NA,NA
"131","Monaco","MCO",1965,NA,NA,NA,NA
"132","Mongolia","MNG",1965,NA,NA,NA,NA
"133","Montenegro","MNE",1965,NA,NA,NA,NA
"134","Morocco","MAR",1965,220.4530381629,NA,NA,NA
"135","Mozambique","MOZ",1965,NA,NA,NA,NA
"136","Myanmar","MMR",1965,NA,NA,NA,NA
"137","Namibia","NAM",1965,NA,NA,NA,NA
"138","Nepal","NPL",1965,68.6696169869,NA,NA,NA
"139","Netherlands","NLD",1965,1708.0591242708,NA,NA,NA
"140","New Caledonia","NCL",1965,1734.7227559653,NA,NA,NA
"141","New Zealand","NZL",1965,2151.6223691034,NA,NA,NA
"142","Nicaragua","NIC",1965,273.6776959587,NA,NA,NA
"143","Niger","NER",1965,177.5253086609,NA,NA,NA
"144","Nigeria","NGA",1965,114.744437972,NA,NA,NA
"145","Northern Mariana Islands","MNP",1965,NA,NA,NA,NA
"146","Norway","NOR",1965,2164.566494805,NA,NA,NA
"147","Oman","OMN",1965,100.3563096026,NA,NA,NA
"148","Pakistan","PAK",1965,113.1826461768,NA,NA,NA
"149","Palau","PLW",1965,NA,NA,NA,NA
"150","Panama","PAN",1965,505.4122008138,NA,NA,NA
"151","Papua New Guinea","PNG",1965,159.2529501797,NA,NA,NA
"152","Paraguay","PRY",1965,203.8358212312,NA,NA,NA
"153","Peru","PER",1965,438.3123753586,NA,NA,NA
"154","Philippines","PHL",1965,188.9945838359,NA,NA,NA
"155","Poland","POL",1965,NA,NA,NA,NA
"156","Portugal","PRT",1965,513.4752329907,NA,NA,NA
"157","Puerto Rico","PRI",1965,1111.0253939861,NA,NA,NA
"158","Qatar","QAT",1965,NA,NA,NA,NA
"159","Romania","ROU",1965,NA,NA,NA,NA
"160","Russian Federation","RUS",1965,NA,NA,NA,NA
"161","Rwanda","RWA",1965,46.2001259078,NA,NA,NA
"162","Samoa","WSM",1965,NA,NA,NA,NA
"163","San Marino","SMR",1965,NA,NA,NA,NA
"164","Sao Tome and Principe","STP",1965,NA,NA,NA,NA
