"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1981,222.1750652749,59.6,NA,NA
"2","Albania","ALB",1981,NA,61.7,NA,NA
"3","Algeria","DZA",1981,2281.0259155499,44.9,NA,NA
"4","American Samoa","ASM",1981,NA,NA,NA,NA
"5","Andorra","AND",1981,9916.458825715,NA,NA,NA
"6","Angola","AGO",1981,NA,82.1,NA,NA
"7","Antigua and Barbuda","ATG",1981,1787.259363847,NA,NA,NA
"8","Argentina","ARG",1981,2754.6408393582,58.7,NA,NA
"9","Armenia","ARM",1981,NA,67.2,NA,NA
"10","Aruba","ABW",1981,NA,NA,NA,NA
"11","Australia","AUS",1981,11924.6690953134,61.3,NA,NA
"12","Austria","AUT",1981,9319.2617498185,54.2,NA,NA
"13","Azerbaijan","AZE",1981,NA,63.7,NA,NA
"14","Bahamas, The","BHS",1981,6624.7154042632,68,NA,NA
"15","Bahrain","BHR",1981,9320.2410079286,61.4,NA,NA
"16","Bangladesh","BGD",1981,238.4421272149,73.3,NA,NA
"17","Barbados","BRB",1981,3792.1067327442,63.8,NA,NA
"18","Belarus","BLR",1981,NA,68.8,NA,NA
"19","Belgium","BEL",1981,10486.9981605643,49.8,NA,NA
"20","Belize","BLZ",1981,1286.9194026756,57.9,NA,NA
"21","Benin","BEN",1981,348.1370139289,72.1,NA,NA
"22","Bermuda","BMU",1981,13586.3976470588,NA,NA,NA
"23","Bhutan","BTN",1981,310.0467986547,59.3,NA,NA
"24","Bolivia","BOL",1981,1076.874384177,68.5,NA,NA
"25","Bosnia and Herzegovina","BIH",1981,NA,59,NA,NA
"26","Botswana","BWA",1981,1039.2953033758,72.9,NA,NA
"27","Brazil","BRA",1981,2115.4539369724,62.1,NA,NA
"28","Brunei Darussalam","BRN",1981,22345.6905000991,59.8,NA,NA
"29","Bulgaria","BGR",1981,2259.0940829817,65.5,NA,NA
"30","Burkina Faso","BFA",1981,240.3543678904,84.3,NA,NA
"31","Burundi","BDI",1981,227.6198491549,89.6,NA,NA
"32","Cambodia","KHM",1981,NA,80.7,NA,NA
"33","Cameroon","CMR",1981,814.1867267183,65.4,NA,NA
"34","Canada","CAN",1981,12075.0245958394,64.6,NA,NA
"35","Cape Verde","CPV",1981,NA,60,NA,NA
"36","Cayman Islands","CYM",1981,NA,NA,NA,NA
"37","Central African Republic","CAF",1981,296.9567848219,78.3,NA,NA
"38","Chad","TCD",1981,188.3420102658,74.1,NA,NA
"39","Channel Islands","CHI",1981,NA,NA,NA,NA
"40","Chile","CHL",1981,2876.5951290664,49.8,NA,NA
"41","China","CHN",1981,195.3054051327,79.3,NA,NA
"42","Colombia","COL",1981,1323.903639173,49.6,NA,NA
"43","Comoros","COM",1981,335.3253989884,75.3,NA,NA
"44","Congo, Dem. Rep.","COD",1981,451.3085232665,68.8,NA,NA
"45","Congo, Rep.","COG",1981,1076.4808162758,71.5,NA,NA
"46","Costa Rica","CRI",1981,1088.9945290218,55.9,NA,NA
"47","Cote d'Ivoire","CIV",1981,948.9918208723,66.5,NA,NA
"48","Croatia","HRV",1981,NA,57.8,NA,NA
"49","Cuba","CUB",1981,2043.1387426169,51.9,NA,NA
"50","Curacao","CUW",1981,NA,NA,NA,NA
"51","Cyprus","CYP",1981,4033.2403770702,57.6,NA,NA
"52","Czech Republic","CZE",1981,NA,61.7,NA,NA
"53","Denmark","DNK",1981,11787.1883479164,65.7,NA,NA
"54","Djibouti","DJI",1981,NA,64.2,NA,NA
"55","Dominica","DMA",1981,878.5326153456,NA,NA,NA
"56","Dominican Republic","DOM",1981,1225.788452219,63.2,NA,NA
"57","Ecuador","ECU",1981,1708.618139114,57,NA,NA
"58","Egypt, Arab Rep.","EGY",1981,508.5333907483,51.5,NA,NA
"59","El Salvador","SLV",1981,726.7626942317,61.7,NA,NA
"60","Equatorial Guinea","GNQ",1981,NA,63.1,NA,NA
"61","Eritrea","ERI",1981,NA,68.8,NA,NA
"62","Estonia","EST",1981,NA,71.5,NA,NA
"63","Ethiopia","ETH",1981,200.3481058924,81.1,NA,NA
"64","Faeroe Islands","FRO",1981,NA,NA,NA,NA
"65","Fiji","FJI",1981,1898.4461528476,53.6,NA,NA
"66","Finland","FIN",1981,10783.5032607697,65.2,NA,NA
"67","France","FRA",1981,10927.972459201,56.8,NA,NA
"68","French Polynesia","PYF",1981,8224.0910990428,61.2,NA,NA
"69","Gabon","GAB",1981,5494.6128849623,73.8,NA,NA
"70","Gambia, The","GMB",1981,335.1420245058,78.9,NA,NA
"71","Georgia","GEO",1981,NA,67.1,NA,NA
"72","Germany","DEU",1981,9878.1858724914,55.6,NA,NA
"73","Ghana","GHA",1981,375.4614330107,71.2,NA,NA
"74","Gibraltar","GIB",1981,NA,NA,NA,NA
"75","Greece","GRC",1981,5177.6306541974,52.3,NA,NA
"76","Greenland","GRL",1981,8544.0983111801,NA,NA,NA
"77","Grenada","GRD",1981,971.1050046044,NA,NA,NA
"78","Guam","GUM",1981,NA,59.8,NA,NA
"79","Guatemala","GTM",1981,1193.507249785,63.8,NA,NA
"80","Guinea","GIN",1981,NA,84.7,NA,NA
"81","Guinea-Bissau","GNB",1981,180.7313962895,71.5,NA,NA
"82","Guyana","GUY",1981,735.3857903002,57.1,NA,NA
"83","Haiti","HTI",1981,NA,68.4,NA,NA
"84","Honduras","HND",1981,753.4877704886,63.7,NA,NA
"85","Hong Kong SAR, China","HKG",1981,5970.12933933,66.5,NA,NA
"86","Hungary","HUN",1981,2124.0917680494,60,NA,NA
"87","Iceland","ISL",1981,14897.185619858,77.9,NA,NA
"88","India","IND",1981,270.9852080742,60.5,NA,NA
"89","Indonesia","IDN",1981,599.4076920163,63,NA,NA
"90","Iran, Islamic Rep.","IRN",1981,2426.4072421427,51,NA,NA
"91","Iraq","IRQ",1981,2304.5722464806,41.7,NA,NA
"92","Ireland","IRL",1981,5826.5772684423,53,NA,NA
"93","Isle of Man","IMN",1981,NA,NA,NA,NA
"94","Israel","ISR",1981,5863.5827111965,52.1,NA,NA
"95","Italy","ITA",1981,7344.4486835204,50.2,NA,NA
"96","Jamaica","JAM",1981,1377.7126028402,74.8,NA,NA
"97","Japan","JPN",1981,10062.1393329537,63.2,NA,NA
"98","Jordan","JOR",1981,1961.2291710576,42.4,NA,NA
"99","Kazakhstan","KAZ",1981,NA,69.3,NA,NA
"100","Kenya","KEN",1981,405.5921435225,82.1,NA,NA
"101","Kiribati","KIR",1981,493.7884548249,NA,NA,NA
"102","Korea, Dem. Rep.","PRK",1981,NA,67.5,NA,NA
"103","Korea, Rep.","KOR",1981,1845.6536196581,59.1,NA,NA
"104","Kosovo","KSV",1981,NA,NA,NA,NA
"105","Kuwait","KWT",1981,17332.8066080583,58.1,NA,NA
"106","Kyrgyz Republic","KGZ",1981,NA,63.1,NA,NA
"107","Lao PDR","LAO",1981,NA,82.2,NA,NA
"108","Latvia","LVA",1981,NA,71.4,NA,NA
"109","Lebanon","LBN",1981,NA,41.8,NA,NA
"110","Lesotho","LSO",1981,322.5370961737,74.8,NA,NA
"111","Liberia","LBR",1981,470.0888105218,70.5,NA,NA
"112","Libya","LBY",1981,NA,46.2,NA,NA
"113","Liechtenstein","LIE",1981,19986.243638549,NA,NA,NA
"114","Lithuania","LTU",1981,NA,67.9,NA,NA
"115","Luxembourg","LUX",1981,13705.7995013585,51.2,NA,NA
"116","Macao SAR, China","MAC",1981,NA,55.6,NA,NA
"117","Macedonia, FYR","MKD",1981,NA,57.5,NA,NA
"118","Madagascar","MDG",1981,406.9327022436,85.8,NA,NA
"119","Malawi","MWI",1981,193.1134748878,88.3,NA,NA
"120","Malaysia","MYS",1981,1795.8605789046,59.5,NA,NA
