"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1962,54.3596445321,NA,NA,NA
"2","Albania","ALB",1962,NA,NA,NA,NA
"3","Algeria","DZA",1962,178.5449164358,NA,NA,NA
"4","American Samoa","ASM",1962,NA,NA,NA,NA
"5","Andorra","AND",1962,NA,NA,NA,NA
"6","Angola","AGO",1962,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",1962,NA,NA,NA,NA
"8","Argentina","ARG",1962,NA,NA,NA,NA
"9","Armenia","ARM",1962,NA,NA,NA,NA
"10","Aruba","ABW",1962,NA,NA,NA,NA
"11","Australia","AUS",1962,NA,NA,NA,NA
"12","Austria","AUT",1962,1087.8134937054,NA,NA,NA
"13","Azerbaijan","AZE",1962,NA,NA,NA,NA
"14","Bahamas, The","BHS",1962,1752.8517812688,NA,NA,NA
"15","Bahrain","BHR",1962,NA,NA,NA,NA
"16","Bangladesh","BGD",1962,95.9168881186,NA,NA,NA
"17","Barbados","BRB",1962,417.0061350188,NA,NA,NA
"18","Belarus","BLR",1962,NA,NA,NA,NA
"19","Belgium","BEL",1962,1438.9255452213,NA,NA,NA
"20","Belize","BLZ",1962,326.1731097922,NA,NA,NA
"21","Benin","BEN",1962,95.1353784664,NA,NA,NA
"22","Bermuda","BMU",1962,2020.3859650335,NA,NA,NA
"23","Bhutan","BTN",1962,NA,NA,NA,NA
"24","Bolivia","BOL",1962,190.9451482206,NA,NA,NA
"25","Bosnia and Herzegovina","BIH",1962,NA,NA,NA,NA
"26","Botswana","BWA",1962,64.7220043723,NA,NA,NA
"27","Brazil","BRA",1962,NA,NA,NA,NA
"28","Brunei Darussalam","BRN",1962,NA,NA,NA,NA
"29","Bulgaria","BGR",1962,NA,NA,NA,NA
"30","Burkina Faso","BFA",1962,75.4112588495,NA,NA,NA
"31","Burundi","BDI",1962,70.1059195007,NA,NA,NA
"32","Cambodia","KHM",1962,115.8382896291,NA,NA,NA
"33","Cameroon","CMR",1962,123.8328931296,NA,NA,NA
"34","Canada","CAN",1962,2255.2300441304,NA,NA,NA
"35","Cape Verde","CPV",1962,NA,NA,NA,NA
"36","Cayman Islands","CYM",1962,NA,NA,NA,NA
"37","Central African Republic","CAF",1962,79.9676250084,NA,NA,NA
"38","Chad","TCD",1962,116.0225857341,NA,NA,NA
"39","Channel Islands","CHI",1962,NA,NA,NA,NA
"40","Chile","CHL",1962,683.5532039614,NA,NA,NA
"41","China","CHN",1962,69.7898732701,NA,NA,NA
"42","Colombia","COL",1962,292.5345797338,NA,NA,NA
"43","Comoros","COM",1962,NA,NA,NA,NA
"44","Congo, Dem. Rep.","COD",1962,229.9935522114,NA,NA,NA
"45","Congo, Rep.","COG",1962,156.0073578461,NA,NA,NA
"46","Costa Rica","CRI",1962,334.885683789,NA,NA,NA
"47","Cote d'Ivoire","CIV",1962,164.3238038056,NA,NA,NA
"48","Croatia","HRV",1962,NA,NA,NA,NA
"49","Cuba","CUB",1962,NA,NA,NA,NA
"50","Curacao","CUW",1962,NA,NA,NA,NA
"51","Cyprus","CYP",1962,NA,NA,NA,NA
"52","Czech Republic","CZE",1962,NA,NA,NA,NA
"53","Denmark","DNK",1962,1681.2929017431,NA,NA,NA
"54","Djibouti","DJI",1962,NA,NA,NA,NA
"55","Dominica","DMA",1962,NA,NA,NA,NA
"56","Dominican Republic","DOM",1962,233.0287082557,NA,NA,NA
"57","Ecuador","ECU",1962,203.6725253674,NA,NA,NA
"58","Egypt, Arab Rep.","EGY",1962,136.1271750182,NA,NA,NA
"59","El Salvador","SLV",1962,239.2366707585,NA,NA,NA
"60","Equatorial Guinea","GNQ",1962,35.3675905677,NA,NA,NA
"61","Eritrea","ERI",1962,NA,NA,NA,NA
"62","Estonia","EST",1962,NA,NA,NA,NA
"63","Ethiopia","ETH",1962,NA,NA,NA,NA
"64","Faeroe Islands","FRO",1962,NA,NA,NA,NA
"65","Fiji","FJI",1962,291.5648223526,NA,NA,NA
"66","Finland","FIN",1962,1411.8416509362,NA,NA,NA
"67","France","FRA",1962,1558.5233362634,NA,NA,NA
"68","French Polynesia","PYF",1962,NA,NA,NA,NA
"69","Gabon","GAB",1962,372.0027655441,NA,NA,NA
"70","Gambia, The","GMB",1962,NA,NA,NA,NA
"71","Georgia","GEO",1962,NA,NA,NA,NA
"72","Germany","DEU",1962,NA,NA,NA,NA
"73","Ghana","GHA",1962,192.4614375349,NA,NA,NA
"74","Gibraltar","GIB",1962,NA,NA,NA,NA
"75","Greece","GRC",1962,630.6313337589,NA,NA,NA
"76","Greenland","GRL",1962,NA,NA,NA,NA
"77","Grenada","GRD",1962,NA,NA,NA,NA
"78","Guam","GUM",1962,NA,NA,NA,NA
"79","Guatemala","GTM",1962,260.4236050907,NA,NA,NA
"80","Guinea","GIN",1962,NA,NA,NA,NA
"81","Guinea-Bissau","GNB",1962,NA,NA,NA,NA
"82","Guyana","GUY",1962,329.5548843009,NA,NA,NA
"83","Haiti","HTI",1962,NA,NA,NA,NA
"84","Honduras","HND",1962,181.522408127,NA,NA,NA
"85","Hong Kong SAR, China","HKG",1962,521.8597598034,NA,NA,NA
