"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1983,NA,59.5,NA,NA
"2","Albania","ALB",1983,NA,62,NA,NA
"3","Algeria","DZA",1983,2350.4271963151,44.8,NA,NA
"4","American Samoa","ASM",1983,NA,NA,NA,NA
"5","Andorra","AND",1983,7513.2906087453,NA,NA,NA
"6","Angola","AGO",1983,NA,82.1,NA,NA
"7","Antigua and Barbuda","ATG",1983,2260.8917510834,NA,NA,NA
"8","Argentina","ARG",1983,3530.942750386,58.9,NA,NA
"9","Armenia","ARM",1983,NA,68.2,NA,NA
"10","Aruba","ABW",1983,NA,NA,NA,NA
"11","Australia","AUS",1983,11594.1780111305,60.5,NA,NA
"12","Austria","AUT",1983,9467.2627172203,53.9,NA,NA
"13","Azerbaijan","AZE",1983,NA,64.6,NA,NA
"14","Bahamas, The","BHS",1983,7698.4934446404,68.9,NA,NA
"15","Bahrain","BHR",1983,9476.0214298424,62.7,NA,NA
"16","Bangladesh","BGD",1983,196.1563881574,73.6,NA,NA
"17","Barbados","BRB",1983,4168.2300322575,65,NA,NA
"18","Belarus","BLR",1983,NA,68.9,NA,NA
"19","Belgium","BEL",1983,8726.5322978304,49.9,NA,NA
"20","Belize","BLZ",1983,1203.9290127782,58.6,NA,NA
"21","Benin","BEN",1983,279.5694943596,72.3,NA,NA
"22","Bermuda","BMU",1983,16112.3188405797,NA,NA,NA
"23","Bhutan","BTN",1983,335.0698276501,58.4,NA,NA
"24","Bolivia","BOL",1983,949.9125022918,69.2,NA,NA
"25","Bosnia and Herzegovina","BIH",1983,NA,59.8,NA,NA
"26","Botswana","BWA",1983,1059.0433688498,72.6,NA,NA
"27","Brazil","BRA",1983,1558.3783383898,63,NA,NA
"28","Brunei Darussalam","BRN",1983,18562.6014737763,60.5,NA,NA
"29","Bulgaria","BGR",1983,1903.6239002248,65.3,NA,NA
"30","Burkina Faso","BFA",1983,206.1160501083,84.1,NA,NA
"31","Burundi","BDI",1983,238.4004780805,89.8,NA,NA
"32","Cambodia","KHM",1983,NA,80.9,NA,NA
"33","Cameroon","CMR",1983,743.4017622974,64.9,NA,NA
"34","Canada","CAN",1983,13113.1689308021,64.3,NA,NA
"35","Cape Verde","CPV",1983,NA,60.3,NA,NA
"36","Cayman Islands","CYM",1983,NA,NA,NA,NA
"37","Central African Republic","CAF",1983,265.0500254398,78.4,NA,NA
"38","Chad","TCD",1983,170.4757117717,73.4,NA,NA
"39","Channel Islands","CHI",1983,NA,NA,NA,NA
"40","Chile","CHL",1983,1687.6947341593,50,NA,NA
"41","China","CHN",1983,223.2519450408,79,NA,NA
"42","Colombia","COL",1983,1348.0917550881,50.3,NA,NA
"43","Comoros","COM",1983,306.5747509692,75,NA,NA
"44","Congo, Dem. Rep.","COD",1983,375.1271382317,68.8,NA,NA
"45","Congo, Rep.","COG",1983,1067.699499568,70.9,NA,NA
"46","Costa Rica","CRI",1983,1560.8903261929,55,NA,NA
"47","Cote d'Ivoire","CIV",1983,706.0900587185,66.8,NA,NA
"48","Croatia","HRV",1983,NA,57.9,NA,NA
"49","Cuba","CUB",1983,2231.9174859893,52.6,NA,NA
"50","Curacao","CUW",1983,NA,NA,NA,NA
"51","Cyprus","CYP",1983,4093.3251242628,58.1,NA,NA
"52","Czech Republic","CZE",1983,NA,61.8,NA,NA
"53","Denmark","DNK",1983,11577.0065256814,66.3,NA,NA
"54","Djibouti","DJI",1983,NA,64.4,NA,NA
"55","Dominica","DMA",1983,1069.2860518065,NA,NA,NA
"56","Dominican Republic","DOM",1983,1390.0402902092,63.6,NA,NA
"57","Ecuador","ECU",1983,1296.4751579862,56.6,NA,NA
"58","Egypt, Arab Rep.","EGY",1983,582.8372230204,50.8,NA,NA
"59","El Salvador","SLV",1983,720.6387383535,61.5,NA,NA
"60","Equatorial Guinea","GNQ",1983,NA,64.7,NA,NA
"61","Eritrea","ERI",1983,NA,68.6,NA,NA
"62","Estonia","EST",1983,NA,71.3,NA,NA
"63","Ethiopia","ETH",1983,220.8457640771,81,NA,NA
"64","Faeroe Islands","FRO",1983,NA,NA,NA,NA
"65","Fiji","FJI",1983,1638.4699361519,54.6,NA,NA
"66","Finland","FIN",1983,10347.9790995179,65.1,NA,NA
"67","France","FRA",1983,9829.8584200925,57.1,NA,NA
"68","French Polynesia","PYF",1983,8101.5888266439,61.1,NA,NA
"69","Gabon","GAB",1983,4543.3164722861,73.6,NA,NA
"70","Gambia, The","GMB",1983,302.7607005058,78.5,NA,NA
"71","Georgia","GEO",1983,NA,67.5,NA,NA
"72","Germany","DEU",1983,9546.6269508579,54.5,NA,NA
"73","Ghana","GHA",1983,336.9924097245,71.6,NA,NA
"74","Gibraltar","GIB",1983,NA,NA,NA,NA
"75","Greece","GRC",1983,4830.4581733652,52.1,NA,NA
"76","Greenland","GRL",1983,7988.1782385983,NA,NA,NA
"77","Grenada","GRD",1983,1055.3487925256,NA,NA,NA
"78","Guam","GUM",1983,NA,60,NA,NA
"79","Guatemala","GTM",1983,1194.1480656452,63.7,NA,NA
"80","Guinea","GIN",1983,NA,84.7,NA,NA
"81","Guinea-Bissau","GNB",1983,183.7635811845,71.5,NA,NA
"82","Guyana","GUY",1983,639.2887346699,57.2,NA,NA
"83","Haiti","HTI",1983,NA,67.9,NA,NA
"84","Honduras","HND",1983,773.4887101315,63.7,NA,NA
"85","Hong Kong SAR, China","HKG",1983,5572.1335421413,65.9,NA,NA
"86","Hungary","HUN",1983,1971.3663062839,58.9,NA,NA
"87","Iceland","ISL",1983,11497.7808935158,78.8,NA,NA
"88","India","IND",1983,293.117378386,60.4,NA,NA
"89","Indonesia","IDN",1983,529.4355778174,62.7,NA,NA
"90","Iran, Islamic Rep.","IRN",1983,3413.4224969338,50.2,NA,NA
"91","Iraq","IRQ",1983,2517.8463663555,42.1,NA,NA
"92","Ireland","IRL",1983,5751.6946889002,54.5,NA,NA
"93","Isle of Man","IMN",1983,NA,NA,NA,NA
"94","Israel","ISR",1983,6683.4352830077,51.3,NA,NA
"95","Italy","ITA",1983,7546.5842782646,50.2,NA,NA
"96","Jamaica","JAM",1983,1615.1652482958,74.9,NA,NA
"97","Japan","JPN",1983,10063.6962301764,63.8,NA,NA
